,,,経済,,,,,,,,,,,,,,,,,,
,,,就業・労働,,,,,,,,,,,,,,,,,,
No,都道府県,年度,女性の就業率【%】,完全失業率【%】,完全失業者数【人】,就労指標｜内閣府作成【-】,就業者数【人】,年平均労働時間（月間）【時間】,従業者数｜工業統計調査【人】,従業者数｜経済センサス【人】,最低賃金額【円】,有効求人倍率【倍】,県内就業者数｜H12年基準／93SNA【人】,県内就業者数｜H17年基準／93SNA【人】,県内就業者数｜H23年基準／2008SNA【人】,県内就業者数｜H27年基準／2008SNA【人】,県内就業者数｜H2年基準／68SNA【人】,県内就業者数｜H7年基準／93SNA【人】,若年の就業率【%】,雇用者数【千人】,高齢者の就業率【%】
1,全国,1975,,,"1,248,857",,"53,140,818",,,"45,117,035",,,,,,,"54,018,241",,,,
2,全国,1976,,,,,,,,,,,,,,,"54,464,561",,,,
3,全国,1977,,,,,,,,,,,,,,,"55,008,278",,,,
4,全国,1978,,,,,,,,"47,948,691",,,,,,,"55,534,743",,,,
5,全国,1979,,,,,,,,,,,,,,,"56,171,405",,,,
6,全国,1980,50.6,,"1,419,811",,"55,811,309",,,,,,,,,,"56,962,635",,,,41.8
7,全国,1981,,,,,,,,"51,545,087",,,,,,,"57,671,786",,,,
8,全国,1982,,,,,,,,,,,,,,,"58,195,309",,,,
9,全国,1983,,,,,,,,,,,,,,,"58,609,599",,,,
10,全国,1984,,,,,,,,,,,,,,,"58,907,494",,,,
11,全国,1985,52.0,,"2,033,319",,"58,357,232",,,,,,,,,,"59,361,558",,,,39.1
12,全国,1986,,,,,,,,"54,370,454",,,,,,,"59,876,330",,,,
13,全国,1987,,,,,,,,,,,,,,,"60,366,784",,,,
14,全国,1988,,,,,,,,,,,,,,,"60,960,550",,,,
15,全国,1989,,,,,,,,,,,,,,,"61,772,548",,,,
16,全国,1990,53.9,,"1,913,697",,"61,681,642",,,,,,,,,,"62,909,236","62,748,137",,,38.1
17,全国,1991,,,,,,,,"60,018,831",,,,,,,"63,846,242","63,910,232",,,
18,全国,1992,,,,,,,,,,,,,,,"64,354,071","64,405,573",,,
19,全国,1993,,,,,,,,,,,,,,,"64,776,806","64,922,721",,,
20,全国,1994,,,,,,,,,,,,,,,"65,023,532","65,080,585",,,
21,全国,1995,55.1,,"2,876,443",,"64,141,544",,,,,,,,,,"65,260,178","65,380,451",,,35.3
22,全国,1996,,,,,,,,"62,781,253",,,"65,663,609",,,,"65,508,322","65,276,916",,,
23,全国,1997,,,,,,,,,,,"65,509,024",,,,"65,576,747","65,149,987",,,
24,全国,1998,,,,,,,,,,,"65,134,416",,,,"65,451,909","64,839,292",,,
25,全国,1999,,,,,,,,,,,"64,753,060",,,,"65,108,936","64,407,909",,,
26,全国,2000,55.7,4.7,"3,119,856",,"62,977,960",,,,,0.6,"64,380,111",,,,,"64,040,685",92.4,,35.3
27,全国,2001,,5.0,,,,,,"60,158,044",,0.6,"63,915,059","64,222,004",,,,"63,627,983",,,
28,全国,2002,,5.4,,,,,"8,323,589",,663.0,0.5,"63,417,433","63,547,108",,,,"63,050,753",,,
29,全国,2003,,5.3,,,,,"8,228,150",,664.0,0.6,"63,033,557","63,433,856",,,,"62,743,546",,,
30,全国,2004,,4.7,,,,,"8,113,676",,665.0,0.8,"62,794,466","63,207,802",,,,,,,
31,全国,2005,56.7,4.4,"3,893,712",,"61,505,973",,"8,159,364",,668.0,0.9,"62,782,562","63,277,576",,,,,90.3,,35.4
32,全国,2006,,4.1,,,,,"8,225,442","58,634,315",673.0,1.1,"62,826,270","62,962,018","64,606,393",,,,,,
33,全国,2007,,3.9,,,,,"8,518,545",,687.0,1.0,"63,160,271","62,932,503","64,990,895",,,,,,
34,全国,2008,,4.0,,,,,"8,364,607",,703.0,0.9,"63,179,239","62,727,240","65,269,675",,,,,,
35,全国,2009,,5.1,,,,,"7,735,789","62,860,514",713.0,0.5,"62,786,544","61,984,647","65,202,123",,,,,,
36,全国,2010,57.5,5.1,"4,087,790",,"59,611,311",,"7,663,847",,730.0,0.5,,"61,254,383","64,806,006",,,,90.8,,36.4
37,全国,2011,,4.6,,,,,"7,472,111",,737.0,0.7,,"60,851,882","64,376,520","64,277,620",,,,,
38,全国,2012,,4.3,,,,,"7,425,339",,749.0,0.8,,"60,704,259","64,325,725","64,370,071",,,,,
39,全国,2013,,4.0,,,,,"7,402,984",,764.0,0.9,,"60,593,735","64,335,392","64,430,915",,,,,
40,全国,2014,,3.6,,,,,"7,403,269","61,788,853",780.0,1.1,,"60,589,373","64,497,529","64,649,621",,,,,
41,全国,2015,60.2,3.4,"2,604,291",,"58,919,036",,"7,497,792",,798.0,1.2,,,"64,525,886","64,727,993",,,93.6,,41.4
42,全国,2016,,3.1,,,,,"7,571,369",,823.0,1.4,,,"64,785,257","65,085,372",,,,,
43,全国,2017,,2.8,,,,,"7,697,321",,848.0,1.5,,,"65,209,813","65,555,429",,,,,
