目次へ,Unnamed: 1,Unnamed: 2
１．町丁別土地面積（令和6年10月1日）,,
（単位：面積ｋ㎡，構成比‰）,,
町丁別,面積,構成比
中野区,15.59,999.9999999999999
,,
南台全域,0.8099999999999998,51.956382296343804
南台一丁目,0.08,5.131494547787043
南台二丁目,0.16,10.262989095574087
南台三丁目,0.21,13.47017318794099
南台四丁目,0.19,12.187299550994227
南台五丁目,0.17,10.904425914047469
弥生町全域,1.01,64.78511866581142
弥生町一丁目,0.21,13.470173187941
弥生町二丁目,0.18,11.545862732520849
弥生町三丁目,0.11,7.055805003207184
弥生町四丁目,0.15,9.621552277100708
弥生町五丁目,0.27,17.31879409878127
弥生町六丁目,0.09,5.7729313662604245
本町全域,1.06,67.99230275817833
本町一丁目,0.12,7.697241821680565
本町二丁目,0.22,14.111610006414368
本町三丁目,0.17,10.904425914047469
本町四丁目,0.22,14.111610006414368
本町五丁目,0.16,10.262989095574087
本町六丁目,0.17,10.904425914047469
中央全域,1.16,74.40667094291211
中央一丁目,0.23,14.75304682488775
中央二丁目,0.3,19.243104554201416
中央三丁目,0.2,12.82873636946761
中央四丁目,0.23,14.75304682488775
中央五丁目,0.2,12.82873636946761
東中野全域,0.95,60.936497754971136
東中野一丁目,0.24,15.39448364336113
東中野二丁目,0.22,14.111610006414368
東中野三丁目,0.16,10.262989095574087
東中野四丁目,0.16,10.262989095574087
東中野五丁目,0.17,10.904425914047469
中野全域,1.47,94.29121231558692
中野一丁目,0.25,16.03592046183451
中野二丁目,0.21,13.47017318794099
中野三丁目,0.24,15.39448364336113
中野四丁目,0.32,20.525978191148173
中野五丁目,0.3,19.243104554201416
中野六丁目,0.15,9.621552277100708
上高田全域,1.01,64.78511866581142
上高田一丁目,0.27,17.31879409878127
上高田二丁目,0.2,12.82873636946761
上高田三丁目,0.13,8.338678640153946
上高田四丁目,0.19,12.187299550994227
上高田五丁目,0.22,14.111610006414368
新井全域,0.81,51.95638229634381
新井一丁目,0.15,9.621552277100708
新井二丁目,0.2,12.82873636946761
新井三丁目,0.24,15.39448364336113
新井四丁目,0.12,7.697241821680565
新井五丁目,0.1,6.414368184733805
沼袋全域,0.67,42.97626683771649
沼袋一丁目,0.17,10.904425914047469
沼袋二丁目,0.18,11.545862732520849
沼袋三丁目,0.16,10.262989095574087
沼袋四丁目,0.16,10.262989095574087
松が丘全域,0.38,24.374599101988455
松が丘一丁目,0.21,13.47017318794099
松が丘二丁目,0.17,10.904425914047469
江原町全域,0.52,33.35471456061578
江原町一丁目,0.21,13.47017318794099
江原町二丁目,0.18,11.545862732520849
江原町三丁目,0.13,8.338678640153946
江古田全域,0.76,48.74919820397691
江古田一丁目,0.19,12.187299550994227
江古田二丁目,0.12,7.697241821680565
江古田三丁目,0.23,14.75304682488775
江古田四丁目,0.22,14.111610006414368
丸山全域,0.28,17.960230917254652
丸山一丁目,0.14,8.980115458627328
丸山二丁目,0.14,8.980115458627328
野方全域,0.92,59.012187299550995
野方一丁目,0.19,12.187299550994227
野方二丁目,0.2,12.82873636946761
野方三丁目,0.12,7.697241821680565
野方四丁目,0.15,9.621552277100708
野方五丁目,0.11,7.055805003207184
野方六丁目,0.15,9.621552277100708
大和町全域,0.71,45.54201411161
大和町一丁目,0.2,12.82873636946761
大和町二丁目,0.15,9.621552277100708
大和町三丁目,0.15,9.621552277100708
大和町四丁目,0.21,13.47017318794099
若宮全域,0.67,42.97626683771649
若宮一丁目,0.19,12.187299550994227
若宮二丁目,0.21,13.47017318794099
若宮三丁目,0.27,17.31879409878127
白鷺全域,0.62,39.769082745349586
白鷺一丁目,0.22,14.111610006414368
白鷺二丁目,0.22,14.111610006414368
白鷺三丁目,0.18,11.545862732520849
鷺宮全域,0.8700000000000001,55.8050032071841
鷺宮一丁目,0.13,8.338678640153946
鷺宮二丁目,0.09,5.7729313662604245
鷺宮三丁目,0.18,11.545862732520849
鷺宮四丁目,0.2,12.82873636946761
鷺宮五丁目,0.11,7.055805003207184
鷺宮六丁目,0.16,10.262989095574087
上鷺宮全域,0.91,58.370750481077614
上鷺宮一丁目,0.14,8.980115458627328
上鷺宮二丁目,0.21,13.47017318794099
上鷺宮三丁目,0.14,8.980115458627328
上鷺宮四丁目,0.14,8.980115458627328
上鷺宮五丁目,0.28,17.960230917254655
資料　中野区全体の面積：国土交通省国土地理院「全国都道府県市区町村別面積調（令和6年10月1日現在）」,,
　　　町丁別の面積：総務課「中野区面積値の改定に伴う町丁別等各区域別面積値の取り扱いについて」,,
