目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
５７．道路の種類別･幅員別延長及び面積（令和2～令和6年）,,,,,（各年4月1日現在）
年次,都道,自動車専用道,区道,区有通路,計
令和2年,26181,2328,340269,30431,399209
,491089,82644,1591538,105595,2270866
3,26350,2328,340311,30662,399651
,494155,82644,1592482,106527,2275808
4,26350,2328,340311,30662,399651
,494140,82644,1592951,106547,2276282
5,26350,2328,340341,30686,399705
,494102,82644,1594011,106727,2277484
6,,,,,
3.5ｍ未満,-,-,153960,-,153960
,-,-,540865,-,540865
3.5ｍ以上,-,-,151971,-,151971
,-,-,703690,-,703690
5.5ｍ以上,-,-,34335,-,34335
,-,-,347771,-,347771
13.0ｍ以上,-,-,179,-,179
,-,-,3650,-,3650
19.5ｍ以上,-,-,-,-,-
,-,-,-,-,-
合計,26340,2328,340445,30660,399773
,494102,82644,1595976,106656,2279378
注）　上段は延長（m），下段は面積（㎡）,,,,,
　　　都道，自動車専用道については前年の数字である。,,,,,
資料　道路管理課,,,,,
