目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
４２．労働力状態，年齢（5歳階級），男女別15歳以上人口（令和2年10月1日）,,,,,,,,,,,,
,,労働力人口,,,,,,,非労働力人口,,,
男女,総数1）,総数,就業者,,,,,完全失業者,,うち家事,うち通学,その他
年齢（5歳階級）,,,総数,主に仕事,家事のほか仕事,"通学のかたわら
仕事",休業者,,,,,
総数,297393,146135,140355,119181,13708,3083,4383,5780,61971,25144,10349,26478
15～19歳,9809,1233,1146,233,30,835,48,87,6301,37,6131,133
20～24,22164,9532,8983,6704,173,1905,201,549,3944,197,3528,219
25～29,31101,17036,16336,15404,315,182,435,700,1134,514,457,163
30～34,29709,16763,16120,14811,590,77,642,643,1322,1047,108,167
35～39,28104,15632,15111,13722,823,29,537,521,1687,1425,53,209
40～44,26304,15273,14706,13237,1143,20,306,567,1773,1498,18,257
45～49,26545,16128,15503,13643,1584,9,267,625,2048,1675,20,353
50～54,23094,14663,14070,12150,1645,6,269,593,2038,1661,4,373
55～59,19464,12698,12179,10281,1630,5,263,519,2265,1806,9,450
60～64,15221,9399,8971,7339,1377,5,250,428,3128,2133,7,988
65～69,14416,6851,6555,4828,1447,7,273,296,5324,2740,3,2581
70～74,16433,5748,5594,3802,1442,2,348,154,8146,3418,5,4723
75～79,12858,3035,2968,1892,821,-,255,67,7604,2835,3,4766
80～84,9948,1332,1309,719,426,1,163,23,6363,2132,3,4228
85歳以上,12223,812,804,416,262,-,126,8,8894,2026,-,6868
（再掲）15～64歳,231515,128357,123125,107524,9310,3073,3218,5232,25640,11993,10335,3312
（再掲）65歳以上,65878,17778,17230,11657,4398,10,1165,548,36331,13151,14,23166
男,149223,78762,75405,70207,1662,1501,2035,3357,20768,2336,5301,13131
15～19歳,4921,568,521,127,10,362,22,47,3197,11,3106,80
20～24,11062,4511,4227,3091,63,974,99,284,1994,43,1830,121
25～29,16009,8448,8096,7807,73,86,130,352,390,42,251,97
30～34,15737,8824,8470,8231,58,42,139,354,212,50,56,106
35～39,15406,8764,8466,8230,79,14,143,298,216,68,27,121
40～44,14196,8499,8161,7948,80,10,123,338,228,66,7,155
45～49,13978,8746,8392,8144,103,2,143,354,325,105,9,211
50～54,12063,7909,7567,7341,87,2,137,342,361,120,1,240
55～59,10075,7045,6720,6455,111,2,152,325,401,134,3,264
60～64,7701,5298,5024,4730,135,3,156,274,797,184,4,609
65～69,7063,3897,3699,3281,234,2,182,198,1879,335,1,1543
70～74,7790,3345,3224,2675,292,2,255,121,3106,391,3,2712
75～79,5567,1737,1692,1346,176,-,170,45,2824,324,2,2498
80～84,3847,748,730,510,103,-,117,18,2241,246,1,1994
85歳以上,3808,423,416,291,58,-,67,7,2597,217,-,2380
（再掲）15～64歳,121148,68612,65644,62104,799,1497,1244,2968,8121,823,5294,2004
（再掲）65歳以上,28075,10150,9761,8103,863,4,791,389,12647,1513,7,11127
女,148170,67373,64950,48974,12046,1582,2348,2423,41203,22808,5048,13347
15～19歳,4888,665,625,106,20,473,26,40,3104,26,3025,53
20～24,11102,5021,4756,3613,110,931,102,265,1950,154,1698,98
25～29,15092,8588,8240,7597,242,96,305,348,744,472,206,66
30～34,13972,7939,7650,6580,532,35,503,289,1110,997,52,61
35～39,12698,6868,6645,5492,744,15,394,223,1471,1357,26,88
40～44,12108,6774,6545,5289,1063,10,183,229,1545,1432,11,102
45～49,12567,7382,7111,5499,1481,7,124,271,1723,1570,11,142
50～54,11031,6754,6503,4809,1558,4,132,251,1677,1541,3,133
55～59,9389,5653,5459,3826,1519,3,111,194,1864,1672,6,186
60～64,7520,4101,3947,2609,1242,2,94,154,2331,1949,3,379
65～69,7353,2954,2856,1547,1213,5,91,98,3445,2405,2,1038
70～74,8643,2403,2370,1127,1150,-,93,33,5040,3027,2,2011
75～79,7291,1298,1276,546,645,-,85,22,4780,2511,1,2268
80～84,6101,584,579,209,323,1,46,5,4122,1886,2,2234
85歳以上,8415,389,388,125,204,-,59,1,6297,1809,-,4488
（再掲）15～64歳,110367,59745,57481,45420,8511,1576,1974,2264,17519,11170,5041,1308
（再掲）65歳以上,37803,7628,7469,3554,3535,6,374,159,23684,11638,7,12039
注）　労働力状態「不詳」を含む。,,,,,,,,,,,,
資料　総務省統計局「令和2年国勢調査　就業状態等基本集計」,,,,,,,,,,,,
