目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
６３．警察署管内別交通事故件数（人身事故）（令和2～令和6年）,,,,,,,,,,,,
,全区,,,,中野警察署,,,,野方警察署,,,
年次,人身事故件数,死亡事故,重傷事故,軽傷事故,人身事故件数,死亡事故,重傷事故,軽傷事故,人身事故件数,死亡事故,重傷事故,軽傷事故
2,628,3,40,585,296,2,17,277,337,1,23,313
3,576,3,24,549,335,2,19,314,248,1,5,242
4,592,3,25,564,283,1,15,267,313,2,10,301
5,682,1,34,647,332,1,12,319,348,-,22,326
6,622,2,24,596,314,1,8,305,305,1,16,288
注）　中野署・野方署の数値は，各署の取扱件数であり，周辺区を含む場合がある。,,,,,,,,,,,,
資料　警視庁,,,,,,,,,,,,
