目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
２９．将来人口推計（中期）（2025～2035年）,,,,,,
年,合計,"年少人口
（0～14歳）","生産年齢人口
（15～64歳）","老年人口
（65歳以上）",老年人口指数,従属人口指数
2025年,341322,30070,244516,66736,27.3,39.6
2026年,343520.48461730947,30079.484617309485,246758,66683,27,39.2
2027年,345784.36165391136,29978.36165391138,249208,66598,26.700000000000003,38.800000000000004
2028年,348245.17269253766,29857.172692537675,251787,66601,26.5,38.3
2029年,350912.111626594,29689.111626594007,254322,66901,26.3,38
2030年,353690.8346679195,29492.834667919502,256898,67300,26.200000000000003,37.7
2031年,356579.27155171527,29291.27155171525,259233,68055,26.3,37.6
2032年,359605.26795010053,29103.267950100548,262738,67764,25.8,36.9
2033年,362828.50667366735,28948.506673667343,265154,68726,25.900000000000002,36.8
2034年,366152.76739655936,28878.767396559342,267715,69559,26,36.8
2035年,369681.70666321996,28940.70666321998,270351,70390,26,36.7
注）　2025年1月1日現在の住民基本台帳上の人口を基準として算出（外国人を含む）,,,,,,
　　　老年人口指数＝（老年人口／生産年齢人口）×100,,,,,,
　　　従属人口指数＝（（年少人口+老年人口）／生産年齢人口）×100,,,,,,
資料　総務課,,,,,,
