目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
１３．人口動態率の推移（平成17～令和6年）,,,,,,
（単位：‰）,,,,,,
年次,自然動態,,社会動態,,婚姻率,離婚率
,出生率,死亡率,転入率,転出率,,
平成17年,6.8,7.9,91.4,92.5,8.9,2.7
18,6.8,7.7,90.9,88,9,2.5
19,7.1,8,91.8,87.1,9,2.5
20,7.3,8,86.9,83.6,9.4,2.3
21,7.8,7.7,86,87.5,9.4,2.4
22,7.7,8.7,86.9,88.6,9.6,2.4
23,7.5,8.7,88.8,84.7,9,2.2
24,7.4,8.6,88.3,80.6,9.8,1.9
25,7.8,8.4,95.3,87.1,9.5,2.1
26,8.056849585471774,8.464271614686142,92.44058428740624,85.01539676273194,9.092775365179628,2.005527043031978
27,8.49770307148141,8.603380432282568,101.66783740605594,89.74494458154874,8.948385933721646,1.8400293410084108
28,8.5,8.1,94.1,88.2,8.8,1.8
29,8.2,8.3,93.8,90.5,8.8,1.8
30,7.8,8.3,95,90.1,8.2,1.8
31,7.3,8.4,99.3,89.9,8.7,1.8
令和2年,7.560544120108059,8.46601640010519,94.05854789739176,91.93681417198594,7.384231035884196,1.6764684788065696
3,7.5,8.9,92.1,95.1,6.8,1.3
4,7,9.3,90.2,90.8,7.2,1.4
5,6.6,9,91.7,86.7,7.6,1.4
6,6.410369094286334,9.076473242275624,91.26279583501797,86.29095106673464,7.049062175892559,1.3916477695548484
注）　自然動態・社会動態＝人口1，000人当たりの人数比，婚姻率・離婚率＝人口1，000人当たりの件数比,,,,,,
　　　各年次別数値の算出に当たっては、平成25年まで各年10月1日現在の区総人口を、平成26年から翌年1月1日現在の区総人口を使用した。,,,,,,
　　　住民基本台帳法の一部改正に伴い，平成25年から外国人世帯・人口を含む。,,,,,,
資料　戸籍住民課,,,,,,
