目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"１７．年齢（各歳），男女別人口（平成27年,対令和2年比較）",,,,,,（各年10月1日現在）
年齢（各歳）,平成27年国勢調査人口,,,令和2年国勢調査,,
,総数,男,女,総数,男,女
総数,328215,165382,162833,344880,172525,172355
0～4歳,10459,5335,5124,11022,5592,5430
0,2458,1261,1197,2306,1173,1133
1,2155,1081,1074,2206,1113,1093
2,2078,1079,999,2214,1149,1065
3,1874,952,922,2177,1076,1101
4,1894,962,932,2119,1081,1038
5～9,8256,4222,4034,9686,4935,4751
5,1748,900,848,2118,1056,1062
6,1727,870,857,1947,996,951
7,1643,844,799,1957,1024,933
8,1584,808,776,1805,910,895
9,1554,800,754,1859,949,910
10～14,7816,4005,3811,8415,4323,4092
10,1471,729,742,1744,903,841
11,1570,787,783,1780,906,874
12,1526,808,718,1661,854,807
13,1588,817,771,1610,822,788
14,1661,864,797,1620,838,782
15～19,10554,5357,5197,9809,4921,4888
15,1750,908,842,1557,787,770
16,1757,896,861,1656,833,823
17,1784,912,872,1610,847,763
18,2235,1118,1117,2124,1039,1085
19,3028,1523,1505,2862,1415,1447
20～24,20613,10267,10346,22164,11062,11102
20,3322,1598,1724,3286,1645,1641
21,3652,1775,1877,3477,1728,1749
22,4018,2038,1980,4419,2222,2197
23,4647,2355,2292,5300,2593,2707
24,4974,2501,2473,5682,2874,2808
25～29,29133,15191,13942,31101,16009,15092
25,5338,2724,2614,5982,3083,2899
26,5600,2870,2730,6247,3122,3125
27,5828,2974,2854,6433,3317,3116
28,6117,3240,2877,6267,3248,3019
29,6250,3383,2867,6172,3239,2933
30～34,30566,16596,13970,29709,15737,13972
30,6253,3357,2896,6121,3213,2908
31,6349,3476,2873,6043,3181,2862
32,6099,3292,2807,5895,3058,2837
33,5951,3209,2742,5832,3114,2718
34,5914,3262,2652,5818,3171,2647
35～39,28137,15387,12750,28104,15406,12698
35,5747,3158,2589,5699,3092,2607
36,5840,3193,2647,5797,3211,2586
37,5649,3105,2544,5753,3111,2642
38,5414,2981,2433,5529,3021,2508
39,5487,2950,2537,5326,2971,2355
40～44,27204,14450,12754,26304,14196,12108
40,5573,3010,2563,5303,2863,2440
41,5611,3023,2588,5316,2853,2463
42,5585,2994,2591,5265,2869,2396
43,5211,2746,2465,5137,2807,2330
44,5224,2677,2547,5283,2804,2479
45～49,23963,12649,11314,26545,13978,12567
45,5048,2667,2381,5431,2891,2540
46,5107,2729,2378,5375,2871,2504
47,4966,2610,2356,5418,2845,2573
48,4925,2628,2297,5198,2738,2460
49,3917,2015,1902,5123,2633,2490
50～54,20539,10700,9839,23094,12063,11031
50,4664,2489,2175,4889,2532,2357
51,4291,2260,2031,5007,2624,2383
52,4103,2057,2046,4754,2500,2254
53,3787,1974,1813,4688,2473,2215
54,3694,1920,1774,3756,1934,1822
55～59歳,16655,8547,8108,19464,10075,9389
55,3630,1877,1753,4448,2348,2100
56,3499,1784,1715,4092,2165,1927
57,3330,1716,1614,3863,1919,1944
58,3077,1583,1494,3563,1843,1720
59,3119,1587,1532,3498,1800,1698
60～64,16222,8183,8039,15221,7701,7520
60,3110,1541,1569,3421,1735,1686
61,3064,1596,1468,3215,1632,1583
62,3187,1590,1597,3073,1561,1512
63,3277,1682,1595,2734,1383,1351
64,3584,1774,1810,2778,1390,1388
65～69,18865,9218,9647,14416,7063,7353
65,3782,1880,1902,2756,1336,1420
66,4174,2040,2134,2726,1364,1362
67,4250,2084,2166,2848,1371,1477
68,3968,1931,2037,2937,1460,1477
69,2691,1283,1408,3149,1532,1617
70～74,15409,7011,8398,16433,7790,8643
70,2710,1277,1433,3287,1578,1709
71,3124,1438,1686,3725,1781,1944
72,3120,1451,1669,3708,1774,1934
73,3303,1474,1829,3439,1630,1809
74,3152,1371,1781,2274,1027,1247
75～79,12639,5355,7284,12858,5567,7291
75,2629,1165,1464,2341,1030,1311
76,2296,991,1305,2671,1197,1474
77,2448,1023,1425,2621,1174,1447
78,2571,1092,1479,2685,1120,1565
79,2695,1084,1611,2540,1046,1494
80～84,10704,4098,6606,9948,3847,6101
