目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3
７０．町丁別倒壊危険度，火災危険度，総合危険度（令和4年9月公表値）,,,
町丁目名,建物倒壊危険度,火災危険度,総合危険度
南台1丁目,2,2,2
南台2丁目,3,4,4
南台3丁目,2,2,3
南台4丁目,3,3,4
南台5丁目,2,2,3
弥生町1丁目,2,3,3
弥生町2丁目,2,2,2
弥生町3丁目,3,3,3
弥生町4丁目,2,2,2
弥生町5丁目,1,2,1
弥生町6丁目,1,1,1
本町1丁目,2,3,3
本町2丁目,2,4,3
本町3丁目,2,2,2
本町4丁目,2,4,3
本町5丁目,2,2,3
本町6丁目,3,4,4
中央1丁目,2,2,2
中央2丁目,2,3,3
中央3丁目,2,3,3
中央4丁目,3,4,3
中央5丁目,2,3,3
東中野1丁目,3,2,3
東中野2丁目,2,3,3
東中野3丁目,2,2,2
東中野4丁目,2,3,3
東中野5丁目,2,1,2
中野1丁目,3,4,4
中野2丁目,1,1,2
中野3丁目,2,2,3
中野4丁目,1,1,1
中野5丁目,3,3,3
中野6丁目,2,3,3
上高田1丁目,2,4,4
上高田2丁目,3,4,4
上高田3丁目,3,3,3
上高田4丁目,2,2,2
上高田5丁目,2,2,2
新井1丁目,3,3,3
新井2丁目,2,2,2
新井3丁目,2,2,2
新井4丁目,2,1,2
新井5丁目,2,2,1
沼袋1丁目,3,3,3
沼袋2丁目,2,3,3
沼袋3丁目,3,3,4
沼袋4丁目,2,3,3
松が丘1丁目,2,3,2
松が丘2丁目,2,2,2
江原町1丁目,2,2,1
江原町2丁目,2,2,1
江原町3丁目,2,2,2
江古田1丁目,2,2,1
江古田2丁目,2,2,2
江古田3丁目,1,1,1
江古田4丁目,2,2,1
丸山1丁目,2,2,1
丸山2丁目,2,3,1
野方1丁目,3,4,4
野方2丁目,3,4,5
野方3丁目,2,3,4
野方4丁目,2,3,3
野方5丁目,2,3,3
野方6丁目,2,3,3
大和町1丁目,3,4,4
大和町2丁目,2,4,4
大和町3丁目,3,4,4
大和町4丁目,3,4,4
若宮1丁目,2,4,5
若宮2丁目,2,4,4
若宮3丁目,2,3,3
白鷺1丁目,2,2,2
白鷺2丁目,2,2,2
白鷺3丁目,2,2,2
鷺宮1丁目,2,3,3
鷺宮2丁目,2,1,1
鷺宮3丁目,2,3,2
鷺宮4丁目,2,2,3
鷺宮5丁目,2,3,3
鷺宮6丁目,2,2,2
上鷺宮1丁目,2,2,2
上鷺宮2丁目,1,2,2
上鷺宮3丁目,1,1,2
上鷺宮4丁目,2,2,2
上鷺宮5丁目,2,3,3
注）　各危険度は，1が危険性が低く，5に近づくほどに危険性が高くなっている,,,
資料　東京都都市整備局市街地整備部防災都市づくり課「地震に関する地域危険度測定調査（第9回）」,,,
