目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
８３．料金適用区分別上水道の給水件数及び使用量（平成31～令和5年度）,,,,,,,,,,
（単位：件　千㎥）,,,,,,,,,,
年度,総数,,口径別料金適用のもの,,共同住宅扱い,,公衆浴場営業,,局施設用,
,件数,水量,件数,水量,件数,水量,件数,水量,件数,水量
平成31年度,225508,32587.333,220110,31939.066,5381,638.305,17,9.295,1,0.667
令和2年度,223764,33658,218588,33013,5159,638,17,7,1,1
3,223438,32969,218484,32363,4937,593,17,12,1,1
4,226763,32271,222007,31690,4740,558,16,23,1,1
5,230549,32108,225788,31539,4745,554,16,16,1,1
注）　局施設は総数に含まない。,,,,,,,,,,
資料　東京都水道局サービス推進部業務課,,,,,,,,,,
