目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
８６．介護保険の状況（令和元～令和5年度）,,,,,,,,,,,,,,,,,,
給付状況,,,,,,,,,,,,,,,,,,
（単位：金額千円）,,,,,,,,,,,,,,,,,,
年度,被保険者数,認定者数,,,,,,,,受給者数,,,保険給付諸費,,,,,
,,総数,要支援1,要支援2,要介護1,要介護2,要介護3,要介護4,要介護5,総数,居宅,施設,総額,"居宅
サービス等給付","施設介護
サービス等給付","特定入所者介護
サービス等給付","高額介護
サービス等給付","審査支払
手数料"
令和元年度,68744,13356,2553,2225,2326,2000,1502,1547,1204,11733,10268,1465,20202916,13993388,4979655,409095,797904,22874
2,68683,13369,2478,2167,2341,2034,1497,1630,1222,11676,10212,1464,20537366,14225732,5050527,401157,836701,23249
3,68499,13736,2519,2197,2455,2027,1570,1725,1244,11851,10371,1480,21123153,14816432,5142406,340695,799251,24369
4,67810,13964,2447,2322,2538,2019,1603,1818,1217,12015,10556,1459,21306494,15151438,5105002,291146,733915,24993
5,67791,14007,2257,2524,2457,2178,1639,1764,1188,12042,10569,1473,21990441,15683910,5201051,298964,780991,25525
注）　被保険者数，認定者数，受給者数の各年度の数字は平均値,,,,,,,,,,,,,,,,,,
資料　介護保険課,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
収納状況,,,,,,,,,,,,,,,,,,
（単位：金額千円）,,,,,,,,,,,,,,,,,,
年度,現年分,,,滞納繰越分,,,,,,,,,,,,,,
,調定額,収納額,収納率（％）,調定額,収納額,収納率（％）,,,,,,,,,,,,
令和元年度,4917298,4850518,98.64,150845,26890,17.83,,,,,,,,,,,,
2,4791276,4733652,98.8,158615,30562,19.27,,,,,,,,,,,,
3,4784469,4735846,98.98,169832,29198,17.19,,,,,,,,,,,,
4,4792174,4743076,98.97,150377,22138,14.72,,,,,,,,,,,,
5,4765011,4719275,99.04,135142,21506,15.91,,,,,,,,,,,,
資料　介護保険課,,,,,,,,,,,,,,,,,,
