目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
１３３．都税徴収状況（令和元～令和5年度）,,,,,
（単位：金額千円）,,,,,
種別,令和元年度,令和2年度,令和3年度,令和4年度,令和5年度
,調定額,,,,
総額,50994086,51720108,51427090,54730032,55589051
都民税,22730546,23516790,23251786,24573258,24654026
個人,22582969,23361020,23099388,24430851,24545397
法人,147576,155770,152398,142406,108630
事業税,150539,183439,173938,204356,155203
個人,55023,54064,48223,90051,87377
法人,95515,129375,125716,114305,67826
不動産取得税,1848213,1336408,1559148,2303508,2071016
事業所税,265,5241,0,0,0
自動車税種別割,77241,56070,64252,57784,59025
固定資産税及び都市計画税,26187254,26622160,26377967,27591126,28649780
その他諸税,29,0,0,0,0
,収入額,,,,
総額,49683297,50418449,50415156,53704272,54704168
都民税,21727533,22567438,22535548,23819891,23974990
個人,21670304,22503121,22472354,23762136,23925226
法人,57229,64317,63194,57755,49764
事業税,72198,88884,88328,101600,91606
個人,35835,32393,32337,55296,58744
法人,36363,56491,55991,46303,32862
不動産取得税,1821478,1308831,1535230,2281421,2058394
事業所税,265,5241,0,0,0
自動車税種別割,60523,37921,51183,44759,47257
固定資産税及び都市計画税,26001271,26410134,26204866,27456601,28531920
その他諸税,29,0,0,0,0
注）　調定額，収入額ともに現年課税分及び滞納繰越分の合計額である。,,,,,
　　　収入額は還付未済額を含む。,,,,,
　　　計数は各項目で四捨五入しているため，合計が合わないことがある。,,,,,
　　　令和元年10月1日から、自動車税は自動車税種別割に名称が変わった。,,,,,
資料　東京都中野都税事務所総務課,,,,,
