目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
３１．将来人口推計（長期）（2020～2050年）,,,,,,
年,合計,"年少人口
（0～14歳）","生産年齢人口
（15～64歳）","老年人口
（65歳以上）",老年人口指数,従属人口指数
2020年,335054,30026,237137,67891,28.6,41.3
2025年,346349,30419,242111,73819,30.5,43.1
2030年,350686,29834,241572,79280,32.8,45.2
2035年,351798,27215,237409,87174,36.7,48.2
2040年,350907,26056,227994,96856,42.5,53.9
2045年,350213,24897,218428,106888,48.9,60.3
2050年,347194,23683,207697,115814,55.8,67.2
注）　2020年の値は、2020年10月1日現在（住民基本台帳）の人口を示している。,,,,,,
　　　老年人口指数＝（老年人口／生産年齢人口）×100,,,,,,
　　　従属人口指数＝（（年少人口+老年人口）／生産年齢人口）×100,,,,,,
資料　中野区「中野区基本計画」,,,,,,
