目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
１３２．国税徴収状況（平成30～令和4年度）,,,,,
（単位：金額千円）,,,,,
種別,平成30年度,令和元年度,令和2年度,令和3年度,令和4年度
,徴収決定済額,,,,
総額,256425546,239940434,259898181,315053942,312252394
源泉所得税,329863,312543,228762,212537,221478
源泉所得税及復興特別所得税,76057822,63734785,57278813,65457675,59544089
申告所得税,487276,423113,355092,388422,371414
申告所得税及復興特別所得税,18323883,19832312,19399392,27362923,25085445
相続税,16755634,14059724,14641949,54854296,54959370
法人税,42585497,36848574,51405661,48004303,53431246
地方法人税,1957922,2172921,4826096,6019594,6448222
復興特別法人税,-,-,-,-,-
消費税等,98699938,101490886,110761482,111606413,111505403
その他,218,1065364,1000934,1147779,685727
,収納済額,,,,
総額,251472046,235232162,255546171,279071221,308245024
源泉所得税,39173,73393,32705,27635,40330
源泉所得税及復興特別所得税,75909045,63570037,57038496,65211727,59298082
申告所得税,48860,38201,16063,40144,45711
申告所得税及復興特別所得税,17929342,19001898,18079794,26785081,24498942
相続税,14985506,13844528,14492466,22443031,54869508
法人税,42286804,36374402,51145119,47661132,53180743
地方法人税,1950985,2155620,4808804,6003618,6430778
復興特別法人税,-,-,-,-,-
消費税等,97096825,99113457,108933066,109751962,109196238
その他,218,1060414,999658,1146891,684692
注）　計数は各項目で四捨五入しているため，合計が合わないことがある。,,,,,
　　　数値は中野税務署分の金額,,,,,
　　　「消費税等」欄は、消費税、消費税及地方消費税を合計した数値である。,,,,,
　　　「その他」欄は，地価税，酒税，たばこ税，たばこ税及たばこ特別税，国際観光旅客税，石油石炭税，旧税，電源開発促進税，揮発油税及地方道路税，揮発油税及地方揮発油税，石油ガス税，自動車重量税，航空機燃料税及印紙収入を合計した数値である。,,,,,
　　　平成29年度より復興特別法人税は、その他の項目に合算され、算出されている。,,,,,
資料　国税庁「統計情報（東京国税局）」,,,,,
