目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
１４２．本会議･委員会の開会状況（令和元～令和5年）,,,,,,,,
本会議・委員会名,,,,令和元年,令和2年,令和3年,令和4年,令和5年
,招集回数,定例会,,4,4,4,4,4
本会議,,臨時会,,1,1,2,2,1
,会議日数,,,20(98),21(108),22(106),22(122),21(103)
議会運営委員会,,,,29,31,36,33,31
,総務,,,20,24,28,25,21
,区民,,,14,17,16,16,15
常任委員会,厚生,,,15,22,19,19,15
,建設,,,18,14,15,16,14
,子ども文教,,,16,24,23,19,21
,区役所及び体育館整備調査,,,-,-,-,-,-
特別委員会,少子高齢化対策調査,,,2,-,-,-,-
,区内駅周辺まちづくり調査,,,-,-,-,-,-
,中野駅周辺・西武新宿線沿線まちづくり調査,,,2,-,-,-,-
,防災対策調査,,,3,-,-,-,-
,中野駅周辺整備・都市観光調査,,,6,6,3,-,-
,地域包括ケア推進調査,,,4,7,2,-,-
,交通対策調査,,,4,5,1,-,-
,中野駅周辺整備・西武新宿線沿線まちづくり調査,,,-,-,7,8,2
,情報政策等調査,,,-,-,7,8,1
,危機管理・感染症対策調査,,,-,-,6,8,2
,中野駅周辺整備・西武新宿線沿線まちづくり調査,,,-,-,-,-,6
,危機管理対策等調査,,,-,-,-,-,5
,少子化対策・地域包括ケア調査,,,-,-,-,-,5
,予算,,,7,10,11,10,7
,決算,,,10,10,10,10,10
注）　（）内の数は会期日数。,,,,,,,,
資料　区議会事務局,,,,,,,,
