目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
４６．住宅の建て方（4区分），構造（4区分），階数（5区分）別住宅数（令和5年10月1日）,,,,,,,,,,,,,,
構造,総数,一戸建,,,長屋建,,,共同住宅,,,,,,その他
,,総数,1階建,2階建以上,総数,1階建,2階建以上,総数,1階建,2.0,3～5,6～10,11階建以上,
住宅総数,206190,36890,1170,35720,4510,280,4230,163770,-,47390.0,74430,30520,11420,1030
木造,70780,31710,1070,30640,3000,180,2820,35640,-,32150.0,3490,-,-,440
非木造,135420,5180,110,5080,1510,100,1420,128130,-,15250.0,70940,30520,11420,590
鉄筋・鉄骨コンクリート造,114020,2490,80,2410,710,80,630,110540,-,8100.0,60850,30360,11230,280
鉄骨造,20910,2670,30,2640,800,20,780,17120,-,6840.0,9930,160,190,310
その他,490,20,-,20,-,-,-,460,-,310.0,160,-,-,-
資料　総務省統計局「令和5年住宅・土地統計調査報告」,,,,,,,,,,,,,,
