目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"１３０．後期高齢者医療特別会計予算額と決算額（令和4年度,令和5年度）",,,,,,
（単位：金額千円）,,,,,,
種別,令和4年度,,,令和5年度,,
,当初予算額,最終予算現額,決算額,当初予算額,最終予算現額,決算額
,歳入,,,,,
総額,7585000,7599562,7654510,7921000,7648801,7736438
後期高齢者医療保険料,4274270,4274270,4328299,4456319,4280655,4366663
繰入金,3200005,3089408,3089119,3357608,3161838,3161670
繰越金,12820,81451,81452,12868,64800,64799
諸収入,97905,154433,155641,94205,141508,143305
,歳出,,,,,
総額,7585000,7599562,7589710,7921000,7648801,7633925
広域連合納付金,7474279,7473787,7473231,7813931,7518976,7518821
保険給付費,97900,97900,97900,94200,103550,97600
諸支出費,12821,27875,18579,12869,26275,17503
注）　計数は各項目で四捨五入しているため，合計が合わないことがある。,,,,,,
資料　中野区「当初予算書」「主要施策の成果（決算説明資料）」,,,,,,
