目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3
２８．町丁別昼間人口･昼夜間人口比率（令和2年10月1日）,,,
町名,"昼間人口
1）",夜間人口,"昼夜間人口比率
（昼間人口/夜間人口）
2）"
南台,15562,21500,72.4
弥生町,21114,24073,87.7
本町,37002,30885,119.8
中央,33119,30982,106.9
東中野,23569,24802,95
中野,56688,28176,201.2
上高田,17084,21325,80.1
新井,15578,18854,82.6
沼袋,10450,14001,74.6
松が丘,5050,6565,76.9
江原町,8443,9323,90.6
江古田,12215,14617,83.6
丸山,4399,4997,88
野方,15786,22017,71.7
大和町,10243,15954,64.2
若宮,9519,12997,73.2
白鷺,7691,12174,63.2
鷺宮,12016,17400,69.1
上鷺宮,10237,14238,71.9
"注1）　東京都総務局統計部が算出した推計値である。小数点以下を四捨五入した按分のため総数と内訳が一致しない。
",,,
注2）　昼夜間人口比率＝昼間人口÷常住人口×100,,,
資料　東京都総務局統計部人口統計課「令和2年国勢調査による東京都の昼間人口（従業地・通学地による人口）」,,,
