目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
１０１．各種がん検診受診状況の推移（平成31～令和5年度）,,,,,,
,,平成31年度,令和2年度,令和3年度,令和4年度,令和5年度
,対象者数,104582,94236,117827,95368,95736
胃がん検診,受診者数,3229,2017,2821,2333,2971
（胃部X線・胃部内視鏡検査）,受診率,0.045,0.055999999999999994,0.040999999999999995,0.054,0.055
,対象者数,29381,-,-,-,-
胃がんハイリスク診査,受診者数,4931,6063,3630,3968,1010
,受診率,0.168,-,-,-,-
,対象者数,96583,83494,83088,82631,83138
子宮頸がん検診,受診者数,8604,8324,7994,8298,8128
,受診率,0.192,0.203,0.196,0.197,0.198
,対象者数,60612,55036,55186,55456,55605
乳がん検診（視触診検査）,受診者数,7332,5094,4681,4170,5049
,受診率,0.236,0.226,0.177,0.16,0.166
,対象者数,60612,55036,55186,55456,55605
乳がん検診（マンモグラフィ検査）,受診者数,6476,4419,5584,4962,6314
,受診率,0.206,0.198,0.181,0.19,0.203
,対象者数,110996,99832,100441,101032,101421
大腸がん検診,受診者数,29183,26167,26442,26283,26203
,受診率,0.263,0.262,0.263,0.26,0.258
注）　受診率は職域等で受診機会のある区民を除いた対象人口率に基づく対象者率に基づくものである。,,,,,,
　　　胃がん検診、子宮がん検診、乳がん検診は国指針で2年に1回の受診となっているので，対象人口率を基にした受診率は前年度と当該年度の受診者数の合計数を当該年度の対象者数で除した値としている。,,,,,,
　　　子宮がん検診及び乳がん検診については「女性特有のがん検診」受診者を含む。,,,,,,
資料　中野区「決算特別委員会資料」,,,,,,
