目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3
２７．昼間人口･昼夜間人口比率の推移（昭和40～令和2年）,,,
年次,昼間人口,夜間人口,"昼夜間人口比率
（昼間人口/夜間人口）"
昭和40年,286992,376697,76.18643100422887
45,289675,378723,76.48730074487158
50,291903,373075,78.24244454868324
55,272369,345733,78.78015694191761
60,267237,335936,79.5499738045342
平成2年,257848,319687,80.65639203345772
7,261174,306581,85.18923220943242
12,272250,309526,87.95706984227496
17,285636,310627,91.9546594468607
22,289176,314750,91.8748212867355
27,313270,328215,95.44658
令和2年,325767,344880,94.45807
資料　総務省統計局「令和2年国勢調査　従業地・通学地による人口・就業状態等集計」,,,
