目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
４９．世帯の年間収入階級，世帯の種類，住宅の所有の関係別普通世帯数，1世帯当たり人員，1世帯当たり居住室数及び1世帯当たり居住室の畳数（令和5年10月1日）,,,,,,,
世帯の年間収入階級,主世帯,,,,,,
,総数,持ち家,借家,,,,
,,,総数,公営の借家,都市再生機構,民営借家,給与住宅
（普通世帯数）,,,,,,,
普通世帯総数1）,206190,66860,121790,2510,2030,112100,5150
100万円未満,11450,2320,9130,510,20,8530,80
100～150,9020,3150,5870,320,80,5470,-
150～200,10380,3870,6510,850,220,5440,-
200～300,24400,7060,17340,380,560,16120,280
300～400,28040,8260,19780,270,280,18780,450
400～500,25300,7270,18030,40,320,16420,1250
500～700,30110,8210,21890,40,220,21140,490
700～1000,25720,10170,15550,20,110,13600,1820
1000～1500,14210,9090,5120,-,180,4450,490
1500万円以上,8400,6820,1580,-,30,1320,230
（1世帯当たり人員）,,,,,,,
普通世帯総数1）,1.66,2.2,1.45,1.74,1.74,1.42,1.77
100万円未満,1.2,1.43,1.14,1.48,1,1.13,1
100～150,1.37,1.58,1.25,1.4,1,1.25,-
150～200,1.34,1.4,1.31,1.74,1.25,1.24,-
200～300,1.41,1.75,1.26,1.78,1.35,1.24,1.77
300～400,1.45,1.68,1.36,2.11,1.9,1.35,1
400～500,1.56,2.06,1.37,1,1.84,1.37,1.16
500～700,1.74,2.25,1.55,4,2.58,1.53,1.77
700～1000,2.07,2.59,1.73,4,2.02,1.69,1.97
1000～1500,2.51,2.76,2.07,-,2.17,2,2.65
1500万円以上,2.92,3.03,2.45,-,3,2.35,2.92
（1世帯当たり居住室数）,,,,,,,
普通世帯総数1）,2.62,4.12,1.79,2.93,2.69,1.73,2.31
100万円未満,1.92,3.79,1.44,2.82,2,1.36,1
100～150,2.6,4.02,1.83,2.81,2.64,1.77,-
150～200,2.59,3.83,1.85,3.21,2.61,1.6,-
200～300,2.43,4.3,1.67,2.79,2.36,1.6,2.61
300～400,2.37,4.05,1.68,2.69,2.92,1.65,1.42
400～500,2.37,4.24,1.62,1,2.69,1.62,1.43
500～700,2.46,4.14,1.83,4,2.93,1.79,2.74
700～1000,2.8,3.99,2.03,2,3.23,1.93,2.7
1000～1500,3.49,4.09,2.42,-,2.83,2.31,3.21
1500万円以上,4.07,4.32,3.01,-,3,3,3.05
（1世帯当たり居住室の畳数）,,,,,,,
普通世帯総数1）,20.2,32.74,13.31,16.67,18.57,12.92,18.13
100万円未満,13.53,27.24,10.05,18.56,9,9.52,11.85
100～150,18.95,29.46,13.31,16.11,20.39,13.04,-
150～200,18.41,28.95,12.14,16.61,16.68,11.27,-
200～300,17.11,31.34,11.31,17.6,15.79,10.9,17.11
300～400,17.57,30.63,12.11,12.64,19.81,11.98,12.5
400～500,18.33,33.71,12.13,6.7,19.23,11.97,12.58
500～700,19.18,32.81,14.07,30,18.59,13.85,19.93
700～1000,22.54,32.47,16.03,8,23.41,15.4,20.41
1000～1500,29.42,34.93,19.65,-,21.42,19.11,23.95
1500万円以上,36.05,38.13,27.03,-,27,26.99,27.27
注1）　世帯の年間収入階級「不詳」を含む。,,,,,,,
資料　総務省統計局「令和5年住宅・土地統計調査報告」,,,,,,,
