目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
１３４．特別区税調定額及び収入額（令和元～令和5年度）,,,,,
（単位：金額千円）,,,,,
種別,令和元年度,令和2年度,令和3年度,令和4年度,令和5年度
,調定額,,,,
特別区税,36124335,37308520,37102616,39104632,39297178
特別区民税,34098349,35277871,34988154,36889405,37038556
軽自動車税,121986,126223,129257,134598,136426
特別区たばこ税,1903999,1904426,1985205,2080628,2122195
,収入額,,,,
特別区税,34734459,36085362,36083700,38153538,38446556
特別区民税,32717067,34062857,33977756,35946915,36194283
軽自動車税,113421,118079,120739,125995,130078
特別区たばこ税,1903971,1904426,1985205,2080628,2122195
資料　中野区「各会計歳入歳出決算書」,,,,,
