目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
９３．医療機関等施設数（令和2～令和6年）,,,,,,,,,,,,,,,（各年3月31日現在）
,,医科,,,,歯科,,,,助産所,,,施術所,歯科技工所,衛生検査所
年次,総数,病院,診療所,,,病院,診療所,,,総数,有床,無床,,,
,,,総数,有床,無床,,総数,有床,無床,,,,,,
令和2年,1566,8,326,9,317,-,253,-,253,17,1,16,928,34,-
3,1589,8,319,8,311,-,249,-,249,15,2,13,962,36,-
4,1626,8,328,7,321,-,248,-,248,15,2,13,988,39,-
5,1617,8,327,7,320,-,242,-,242,16,2,14,984,40,-
6,1631,8,329,6,323,-,246,-,246,22,2,20,986,40,-
注）施術所の内訳に出張業を含む。,,,,,,,,,,,,,,,
資料　生活衛生課,,,,,,,,,,,,,,,
