目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
６．世帯数及び人口の推移（昭和56～令和7年）,,,,,,,（各年1月1日現在）
年次,世帯数,人口,,,1世帯当たり,人口密度,人口増加率
,,総数,男,女,人員,（1k㎡当たり）,（％）
昭和56年,146612,329617,162220,167397,2.248226611737102,20954.672600127145,-1.0025378804943585
57,147122,327259,161430,165829,2.224405595356235,20804.767959313413,-0.7153757239462766
58,149418,327511,162300,165211,2.1919112824425437,20820.788302606485,0.07700322985768615
59,150729,326539,162020,164519,2.1663979725202185,20758.99554990464,-0.29678392481473637
60,152210,326668,162459,164209,2.1461664805203338,20767.19643992371,0.03950523520928062
61,152321,324797,161472,163325,2.132319246853684,20648.251748251747,-0.5727527642744312
62,153722,324063,161463,162600,2.1081107453715147,20601.589319771138,-0.22598730899607844
63,152284,319665,159068,160597,2.0991371385043736,20321.9961856325,-1.3571435183899472
64,150923,314840,156321,158519,2.086096883841429,20207.95892169448,-1.5093926454256779
平成2年,150161,310707,153939,156768,2.069159102563249,19929.89095574086,-1.312730275695595
3,150024,307133,152081,155052,2.04722577720898,19700.641436818474,-1.1502798456423546
4,150740,304974,150805,154169,2.0231789836805096,19562.15522771007,-0.7029527924384604
5,151440,303100,149620,153480,2.0014527205493926,19441.949967928158,-0.614478611291458
6,150968,299642,147926,151716,1.9848047268295268,19220.141116100065,-1.1408775981524233
7,150941,296713,146305,150408,1.9657548313579478,19032.264271969212,-0.9774998164476245
8,151858,294810,145287,149523,1.9413531061913103,18910.198845413728,-0.6413605066175054
9,153479,294606,145190,149416,1.9195199343232625,18897.11353431687,-0.06919711000304973
10,155273,294254,145346,148908,1.8950751257462664,18874.534958306605,-0.11948161273022118
11,157128,294325,145513,148812,1.8731543709587088,18879.08915971777,0.024128813881874045
12,158960,294594,146012,148582,1.8532586814292904,18896.343810134702,0.09139556612587363
13,160694,294941,146183,148758,1.8354201152501026,18918.60166773573,0.12
14,164943,296377,147025,149352,1.8199999999999998,19011,0.49
15,164952,297189,147475,149714,1.801669576604103,19062.796664528545,0.27
16,166381,297493,147891,149602,1.79,19082,0.1
17,168200,298017,148288,149729,1.77,19115.90763309814,0.17613859821911776
18,169532,297626,148542,149084,1.75,19026.68377164849,-0.46675189670387934
19,171531,298229,148964,149265,1.74,19130,0.3499456574772283
20,174040,299380,149942,149438,1.72,19203,0.39
21,175530,300001,150544,149457,1.71,19243,0.21
22,175932,299562,150498,149064,1.7,19215.00962155228,-0.150000000000006
23,176035,298571,149971,148600,1.7,19151,-0.33
24,177086,298780,150191,148589,1.69,19165,0.07
25,185843,311256,156298,154958,1.67,19965.105837075047,4.17
26,187895,313665,157717,155948,1.7,20120,0.77
27,190666,316625,159469,157156,1.66,20309.493264913406,0.9436819536766894
28,194834,321734,162336,159398,1.65,20637,1.61
29,198421,325460,164177,161283,1.64,20876,1.16
30,201754,328683,165938,162745,1.63,21083,0.99
31,204613,331658,167378,164280,1.62,21274,0.91
令和2年,207909,335234,169099,166135,1.61,21503,1.08
3,207425,334632,168755,165877,1.6132674460648426,21464.52854393842,-0.17957605732115475
4,206061,332017,167199,164818,1.61,21297,-0.78
5,209150,333593,168181,165412,1.59,21398,0.47
6,213350,337377,170371,167006,1.58,21641,1.13
7,217716,341322,172721,168601,1.5677396240974482,21893.649775497113,1.1693150392587521
注）　住民基本台帳法の一部改正に伴い，平成25年から外国人世帯・人口を含む。,,,,,,,
資料　戸籍住民課,,,,,,,
