目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
３２．産業中分類別事業所数及び従業者数（平成26～令和3年）,,,,,,,
産業分類,,平成26年,,平成28年,,令和3年,
,,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数
A～R,全産業（S公務を除く）,12886,125354,12068,121982,11962,122974
A～B,農林漁業,3,7,3,10,3,5
A,農業，林業,3,7,3,10,3,5
01,農業,3,7,3,10,3,5
02,林業,-,-,-,-,-,-
B,漁業,-,-,-,-,-,-
03,漁業（水産養殖業を除く）,-,-,-,-,-,-
04,水産養殖業,-,-,-,-,-,-
C～R,非農林漁業（S公務を除く）,12883,125347,12065,121972,11959,122969
C,鉱業，採石業，砂利採取業,1,2,-,-,-,-
05,鉱業，採石業，砂利採取業,1,2,-,-,-,-
D,建設業,846,6737,804,7620,821,8097
06,総合工事業,301,2187,290,3008,291,2541
07,職別工事業（設備工事業を除く）,320,2471,316,2439,307,2410
08,設備工事業,225,2079,198,2173,223,3146
E,製造業,470,5409,385,6460,344,3094
09,食料品製造業,42,690,37,795,27,333
10,飲料・たばこ・飼料製造業,16,1120,12,2964,8,262
11,繊維工業,55,276,44,319,40,152
12,木材・木製品製造業（家具を除く）,4,7,5,8,3,5
13,家具・装備品製造業,24,74,18,45,10,22
14,パルプ・紙・紙加工品製造業,9,116,6,51,6,62
15,印刷・同関連業,87,500,78,449,70,368
16,化学工業,12,258,15,263,15,240
17,石油製品・石炭製品製造業,-,-,-,-,-,-
18,プラスチック製品製造業（別掲を除く）,9,36,9,48,8,38
19,ゴム製品製造業,3,10,2,9,2,15
20,なめし革・同製品・毛皮製造業,3,15,3,15,6,13
21,窯業・土石製品製造業,15,95,8,56,7,53
22,鉄鋼業,-,-,-,-,-,-
23,非鉄金属製造業,2,77,2,80,2,79
24,金属製品製造業,30,195,26,158,22,175
25,はん用機械器具製造業,8,51,4,20,3,14
26,生産用機械器具製造業,17,167,10,73,15,116
27,業務用機械器具製造業,28,246,21,157,16,279
28,電子部品・デバイス・電子回路製造業,20,344,12,92,11,141
29,電気機械器具製造業,20,152,19,143,17,136
30,情報通信機械器具製造業,10,499,7,277,6,174
31,輸送用機械器具製造業,7,68,4,49,2,24
32,その他の製造業,49,413,43,389,48,393
F,電気・ガス・熱供給・水道業,4,109,3,22,11,104
33,電気業,-,-,-,-,7,22
34,ガス業,-,-,-,-,-,-
35,熱供給業,-,-,-,-,-,-
