目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
１２６．一般会計予算額及び決算額（令和2～令和5年度）,,,,,,,,,,,,
（単位：金額千円）,,,,,,,,,,,,
区分,令和2年度,,,令和3年度,,,令和4年度,,,令和5年度,,
,当初予算額,最終予算現額,決算額,当初予算額,最終予算現額,決算額,当初予算額,最終予算現額,決算額,当初予算額,最終予算現額,決算額
,歳入,,,,,,,,,,,
総額,146823000,190499220,186308456,147241000,165959071,159818016,157935000,175085339,169535998,195630000,209673191,204003243
特別区税,35114165,35833165,36085362,33428588,35823588,36083700,34245457,38009457,38153538,37705479,38322479,38446556
特別区交付金,36800000,35990000,36020888,32700000,38980000,41022235,40500000,43300000,44701125,43400000,45303000,47336159
地方譲与税,447000,417000,436425,427000,427000,443735,434000,434000,456133,434000,448000,459634
利子割交付金,100000,100000,100553,100000,100000,93919,100000,123000,124132,120000,130000,146652
配当割交付金,500000,500000,486474,500000,520000,675222,600000,600000,661266,650000,660000,781392
株式等譲渡所得割交付金,300000,300000,566897,300000,300000,826088,500000,500000,508634,600000,600000,842180
地方消費税交付金,7000000,6900000,6982529,6000000,7300000,7708939,6800000,7890000,8228644,8200000,8000000,8146775
自動車取得税交付金,-,-,-,-,-,-,-,-,-,-,-,-
環境性能割交付金,100000,70000,75479,100000,100000,96837,100000,100000,113856,120000,120000,127195
地方特例交付金,131000,186000,186452,170000,185000,185106,170000,190000,189923,170000,170000,162055
交通安全対策特別交付金,25000,25000,27885,25000,25000,30398,25000,25000,27825,27000,27000,24609
分担金及び負担金,1040244,1040244,940652,1121573,1084176,1073079,1277341,1326598,1300573,2651313,2673874,2590112
使用料及び手数料,1969115,1967009,1822625,1912933,1916545,1804334,2049915,2049915,1991810,2027387,2027387,1998852
国庫支出金,28275168,64199233,63717583,30304059,42794726,40482528,31699328,37469366,37221012,36502071,35457947,34053180
都支出金,13198975,14105517,14237288,13018458,13741645,13671855,13336222,14969087,15240392,14520176,18916004,19000097
財産収入,170257,255649,632462,207868,241909,233427,164141,199984,249142,177171,240332,305245
寄付金,37439,37679,30141,37459,120058,94264,37455,44755,25461,93555,138455,193141
繰入金,12766798,12136067,7494083,15871867,15076427,7919918,17768231,15607620,10431349,17258937,22075291,16955427
繰越金,400000,8295959,8295959,400000,5692729,5692729,400000,6479665,6479665,400000,7166339,7166339
諸収入,1262839,1567698,1670720,1380195,1530268,1679705,1792910,1895892,1900518,3037911,2974083,3045644
特別区債,7185000,6573000,6498000,9236000,0,0,5935000,3871000,1531000,27535000,24223000,22222000
,歳出,,,,,,,,,,,
総額,146823000,190499220,180615727,147241000,165959071,153338351,157935000,175085339,162369659,195630000,209673191,198672926
議会費,897221,897221,858974,873063,873063,827757,992787,992787,940937,1072306,1072306,1016499
企画費,2282721,2172956,2040303,2025927,2026620,1888369,677574,682183,624398,855115,855115,778330
総務費,6884346,40614488,40130355,8756785,14990339,11610344,12634624,18868638,16832933,25089964,30720410,29786895
区民費,11383210,11859980,10796549,11446620,11560874,10688514,11713484,12110007,10957101,13342631,14840568,13702341
子ども教育費,55762702,56334837,54163227,55253768,58076481,56581460,45467021,46052410,44279758,60748032,62517779,60076633
地域支えあい推進費,8357055,7492117,6838045,7001159,7012200,6616206,7859598,8122278,7682297,8746161,9007904,8628511
健康福祉費,30040231,38977468,35917785,31534576,37768483,33346718,34056051,38658834,35427657,37480892,37177268,35020807
環境費,5207846,5347456,5122633,5280861,5295861,5104615,5692015,5692015,5380505,5859758,5871408,5576389
都市基盤費,7610238,7345656,6198705,6462545,6672816,6117234,7683070,7729910,7087194,8773317,8483276,8005513
まちづくり推進費,7683803,7343920,6610852,9866890,9622912,8769111,12728724,12861339,11118128,17611354,17278237,14627342
公債費,2392458,2094072,2093069,1462629,1407094,1405767,13006009,1300609,1299286,1599677,1440674,1439542
諸支出費,8021169,9852967,9845230,6776177,10430424,10382256,16629443,21644956,20739468,14050793,20061314,20014124
予備費,300000,166082,0,500000,221904,0,500000,369373,0,400000,346932,0
注）　計数は各項目で四捨五入しているため，合計が合わないことがある。,,,,,,,,,,,,
資料　中野区「当初予算書」「主要施策の成果（決算説明資料）」,,,,,,,,,,,,
