目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
８７．身体障害者手帳所持者の状況（平成31～令和5年度）,,,,,,,,,（各年4月1日現在）
年度,総数,視覚,聴覚・平衡機能,肢体不自由,,,,内部,音声・言語機能
,,,,上肢,下肢,体幹,脳原性麻痺,,
平成31年度,8185,564,655,1436,2667,652,101,3546,181
令和2年度,8126,590,664,1480,2646,704,88,3601,157
3,8028,599,659,1483,2586,679,105,3609,182
4,7873,618,629,1459,2489,671,104,3681,180
5,7835,661,637,1453,2468,636,101,3555,177
注）　本表は区内現住者及び身体障害者施設入居者の統計である。,,,,,,,,,
　　　重複障害を有する者については部位ごとに計上しているため，総数は手帳の所持者数と異なる。,,,,,,,,,
資料　中野区「健康福祉部事業概要」,,,,,,,,,
