目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
８．町丁別世帯数及び人口（令和7年1月1日）,,,,,,,,
町丁別,世帯数,人口,,,1世帯当たり,人口密度,前年,人口増加率
,,総数,男,女,人口,（1ｋ㎡当たり）,1月1日の人口,（％）
中野区,217716,341322,172721,168601,1.5677396240974482,21893.649775497113,337377,1.1693150392587521
,,,,,,,,
南台総数,12689,20668,10312,10356,1.6288123571597446,25516.049382716054,20624,0.21334367726920092
南台一丁目,825,1277,644,633,1.5478787878787879,15962.5,1273,0.3142183817753339
南台二丁目,3292,5273,2608,2665,1.6017618469015795,32956.25,5349,-1.4208263226771358
南台三丁目,3227,5565,2760,2805,1.7245119305856833,26500,5469,1.755348326933626
南台四丁目,2769,4456,2226,2230,1.6092452148790177,23452.631578947367,4402,1.226715129486597
南台五丁目,2576,4097,2074,2023,1.5904503105590062,24100,4131,-0.823045267489712
弥生町総数,15710,23799,11856,11943,1.5148949713558244,23563.366336633662,23404,1.6877456844983763
弥生町一丁目,4282,6392,3291,3101,1.492760392340028,30438.09523809524,6325,1.0592885375494072
弥生町二丁目,3846,5491,2735,2756,1.4277171086843474,30505.55555555556,5380,2.063197026022305
弥生町三丁目,2027,2998,1497,1501,1.4790330537740504,27254.545454545456,2988,0.33467202141900937
弥生町四丁目,2108,3307,1628,1679,1.5687855787476281,22046.666666666668,3281,0.7924413288631514
弥生町五丁目,2395,3823,1866,1957,1.596242171189979,14159.25925925926,3730,2.493297587131367
弥生町六丁目,1052,1788,839,949,1.6996197718631179,19866.666666666668,1700,5.176470588235294
本町総数,20412,29994,14915,15079,1.469429747207525,28296.226415094337,29755,0.803226348512855
本町一丁目,2443,3787,1928,1859,1.5501432664756447,31558.333333333336,3733,1.4465577283686044
本町二丁目,3053,4538,2308,2230,1.4864068129708483,20627.272727272728,4558,-0.4387889425186486
本町三丁目,3798,5527,2816,2711,1.4552395997893628,32511.76470588235,5462,1.1900402782863422
本町四丁目,5024,7244,3578,3666,1.4418789808917198,32927.27272727273,7183,0.8492273423360712
本町五丁目,2818,4012,1966,2046,1.4237047551454933,25075,3934,1.9827147941026944
本町六丁目,3276,4886,2319,2567,1.4914529914529915,28741.176470588234,4885,0.020470829068577275
中央総数,19908,29794,15195,14599,1.4965842877235283,25684.482758620692,29800,-0.020134228187919462
中央一丁目,4008,5874,2962,2912,1.465568862275449,25539.130434782608,5879,-0.08504847763225039
中央二丁目,4174,6381,3175,3206,1.5287494010541447,21270,6405,-0.37470725995316156
中央三丁目,3754,5444,2887,2557,1.4501864677677145,27220,5450,-0.11009174311926606
中央四丁目,4369,6584,3458,3126,1.5069810025177386,28626.086956521736,6609,-0.3782720532607051
中央五丁目,3603,5511,2713,2798,1.5295587010824314,27555,5457,0.9895547003848268
東中野総数,16680,25358,12659,12699,1.5202637889688249,26692.63157894737,24446,3.7306716845291668
東中野一丁目,4956,7446,3812,3634,1.5024213075060533,31025,7209,3.2875572201414895
東中野二丁目,2849,4557,2259,2298,1.5995085995085996,20713.636363636364,4511,1.019729549988916
東中野三丁目,2308,3402,1611,1791,1.474003466204506,21262.5,3314,2.655401327700664
東中野四丁目,3023,4359,2207,2152,1.4419450876612636,27243.75,4324,0.8094357076780758
東中野五丁目,3544,5594,2770,2824,1.5784424379232507,32905.882352941175,5088,9.94496855345912
中野総数,18057,27417,14380,13037,1.5183585313174945,18651.020408163266,27023,1.4580172445694408
中野一丁目,3885,6137,3262,2875,1.5796653796653797,24548,6099,0.6230529595015576
中野二丁目,1773,2788,1392,1396,1.5724760293288211,13276.190476190477,2645,5.406427221172023
中野三丁目,3977,5964,3141,2823,1.4996228312798592,24850,5925,0.6582278481012658
中野四丁目,1005,1396,676,720,1.3890547263681592,4362.5,1401,-0.35688793718772305
中野五丁目,5035,7195,3891,3304,1.428997020854022,23983.333333333336,7120,1.053370786516854
中野六丁目,2382,3937,2018,1919,1.6528127623845508,26246.666666666668,3833,2.7132794156013564
上高田総数,13658,20772,10960,9812,1.520866891199297,20566.336633663366,20410,1.7736403723664869
上高田一丁目,3607,5513,2883,2630,1.5284169670085943,20418.51851851852,5364,2.7777777777777777
上高田二丁目,3426,5036,2747,2289,1.4699357851722126,25180,4929,2.1708257252992493
上高田三丁目,2261,3377,1785,1592,1.4935869084475895,25976.923076923074,3309,2.0550015110305226
上高田四丁目,2355,3724,1916,1808,1.5813163481953292,19600,3739,-0.4011767852366943
上高田五丁目,2009,3122,1629,1493,1.5540069686411149,14190.90909090909,3069,1.726946888237211
新井総数,12526,18795,9874,8921,1.5004790036723614,23203.7037037037,18727,0.3631120841565654
新井一丁目,3485,4768,2588,2180,1.3681492109038738,31786.666666666668,4658,2.3615285530270502
新井二丁目,3463,5287,2787,2500,1.5267109442679758,26435,5424,-2.525811209439528
新井三丁目,1709,2937,1566,1371,1.7185488589818607,12237.5,2910,0.9278350515463918
新井四丁目,2044,3226,1615,1611,1.5782778864970646,26883.333333333336,3179,1.4784523435042467
新井五丁目,1825,2577,1318,1259,1.412054794520548,25770,2556,0.8215962441314555
沼袋総数,9225,13770,7159,6611,1.4926829268292683,20552.238805970148,13587,1.346875689997792
沼袋一丁目,2441,3451,1805,1646,1.4137648504711184,20300,3408,1.261737089201878
沼袋二丁目,2364,3592,1836,1756,1.5194585448392555,19955.555555555555,3563,0.8139208532135841
沼袋三丁目,2203,3242,1744,1498,1.471629596005447,20262.5,3166,2.4005053695514844
沼袋四丁目,2217,3485,1774,1711,1.5719440685611186,21781.25,3450,1.0144927536231882
松が丘総数,4226,6663,3417,3246,1.5766682442025557,17534.21052631579,6515,2.27168073676132
松が丘一丁目,2172,3320,1721,1599,1.5285451197053408,15809.523809523811,3211,3.3945811273746496
松が丘二丁目,2054,3343,1696,1647,1.627555988315482,19664.70588235294,3304,1.1803874092009685
江原町総数,5644,9473,4637,4836,1.6784195605953225,18217.30769230769,9391,0.873176445532957
江原町一丁目,1996,3478,1653,1825,1.7424849699398797,16561.904761904763,3422,1.6364699006428989
江原町二丁目,2104,3608,1802,1806,1.714828897338403,20044.444444444445,3614,-0.16602102933038185
江原町三丁目,1544,2387,1182,1205,1.5459844559585492,18361.53846153846,2355,1.358811040339703
江古田総数,8170,13981,6852,7129,1.7112607099143207,18396.052631578947,13945,0.2581570455360344
江古田一丁目,1822,3235,1631,1604,1.7755214050493964,17026.315789473683,3220,0.4658385093167702
江古田二丁目,1734,2572,1290,1282,1.483275663206459,21433.333333333336,2562,0.39032006245121
江古田三丁目,1830,3729,1718,2011,2.037704918032787,16213.043478260868,3734,-0.1339046598821639
江古田四丁目,2784,4445,2213,2232,1.5966235632183907,20204.545454545456,4429,0.3612553623842854
丸山総数,2863,4958,2473,2485,1.7317499126790081,17707.142857142855,4920,0.7723577235772358
丸山一丁目,1169,2086,1046,1040,1.784431137724551,14899.999999999998,2021,3.2162295893122215
丸山二丁目,1694,2872,1427,1445,1.6953955135773318,20514.285714285714,2899,-0.9313556398758192
野方総数,14014,21804,11186,10618,1.5558726987298417,23700,21432,1.7357222844344906
