目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
２２．世帯の家族類型別65歳以上世帯員のいる一般世帯数，一般世帯人員及び65歳以上世帯人員（75歳以上･85歳以上世帯員のいる一般世帯-特掲）（令和2年10月1日）,,,,,,,,,,,,,,,,,,,,
,,親族のみの世帯,,,,,,,,,,,,,,,,,"


世帯",
65歳以上世帯人員,総数,,核家族世帯,,,,,核家族以外の世帯,,,,,,,,,,,,
,,総数,総数,夫婦のみの世帯,夫婦と子供から成る世帯,男親と子供から成る世帯,女親と子供から成る世帯,総数,夫婦と両親から成る世帯,夫婦とひとり親から成る世帯,夫婦，子供と両親から成る世帯,夫婦，子供とひとり親から成る世帯,夫婦と他の親族（親，子供を含まない）から成る世帯,夫婦，子供と他の親族（親を含まない）から成る世帯,夫婦，親と他の親族（子供を含まない）から成る世帯,夫婦，子供，親と他の親族から成る世帯,兄弟姉妹のみから成る世帯,"他に分類
されない
世帯","非親族を
含む世帯",単独世帯
65歳以上世帯員のいる一般世帯,,,,,,,,,,,,,,,,,,,,
世帯数,47301,26562,23448,11899,5748,876,4925,3114,74,549,149,734,120,234,36,65,516,637,320,20419
世帯人員,87130,65935,54793,23798,18498,1883,10614,11142,296,1647,862,3333,377,1045,157,406,1077,1942,776,20419
65歳以上世帯人員,64054,43149,38308,21889,10153,907,5359,4841,147,861,295,914,271,474,69,109,959,742,486,20419
（再掲）,,,,,,,,,,,,,,,,,,,,
75歳以上世帯員のいる一般世帯,,,,,,,,,,,,,,,,,,,,
世帯数,26838,15274,13003,6324,2581,553,3545,2271,55,492,104,595,88,140,32,41,258,466,184,11380
世帯人員,49707,37863,29608,12648,8166,1179,7615,8255,220,1476,603,2686,280,623,139,254,547,1427,464,11380
75歳以上世帯人員,33338,21722,18943,10572,4250,553,3568,2779,104,515,174,602,160,230,40,49,410,495,236,11380
85歳以上世帯員のいる一般世帯,,,,,,,,,,,,,,,,,,,,
世帯数,10024,5433,4279,1787,637,232,1623,1154,29,355,28,337,26,39,23,17,81,219,61,4530
世帯人員,18314,13620,9510,3574,1997,486,3453,4110,116,1065,162,1480,83,166,101,102,172,663,164,4530
85歳以上世帯人員,10969,6374,5142,2422,864,232,1624,1232,42,355,40,337,33,54,24,19,105,223,65,4530
資料　総務省統計局「令和2年国勢調査人口等基本集計」,,,,,,,,,,,,,,,,,,,,
