目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
１１７．児童･生徒の学力調査の結果[達成率]（令和5年度）,,,,,,,,,
教科,観点,小2,小3,小4,小5,小6,中1,中2,中3
国語,知識・技能,78.8,74.1,68.8,64.8,76.1,70.5,71.3,69.2
,思考・判断・表現,64.5,67.8,65.5,64.4,71,68.4,70.8,69
算数・数学,知識・技能,87.8,78.7,79.1,69.3,71,66.5,71.3,68.5
,思考・判断・表現,77,71.4,65.7,56.8,67.5,65.6,68.3,68.1
英語,知識・技能,-,-,-,-,-,-,70.9,68.9
,思考・判断・表現,-,-,-,-,-,-,59.4,61.7
注1）　達成率：出題した学習内容や問題の形式、難易度等を考慮し、「おおむね満足である状況」を示す数値（目標値）をあらかじめ設置した。この目標値に到達した児童・生徒の割合。,,,,,,,,,
注2）　学習指導要領の全面実施にともない、調査をした全学年の評価観点が「知識・技能」「思考・判断・表現」「主体的に取り組む態度」の3観点に変更された。,,,,,,,,,
　　　このことにより、令和４年度からは36項目に変更になった。,,,,,,,,,
注3）　令和3年度より社会と理科の2教科を実施しないこととした。,,,,,,,,,
資料　中野区「教育要覧」,,,,,,,,,
