目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"１３１．介護保険特別会計予算額及び決算額（令和4年度,令和5年度）",,,,,,
（単位：金額千円）,,,,,,
区分,令和4年度,,,令和5年度,,
,当初予算額,最終予算現額,決算額,当初予算額,最終予算現額,決算額
,歳入,,,,,
総額,24034000,24570341,24269573,24458000,25098360,25041816
介護保険料,4819685,4819685,4765215,4783764,4783764,4740783
使用料及び手数料,1,1,0,1,1,0
国庫支出金,5272828,5330467,5550644,5510358,5595852,5639067
支払基金交付金,6241527,6185467,6007527,6342547,6333506,6234893
都支出金,3346771,3346771,3295903,3394528,3394528,3335515
財産収入,1,900,831,1,10,10
繰入金,4339080,4340611,4100564,4411251,4456164,4556908
繰越金,13222,545554,545555,14150,533135,533135
諸収入,885,885,3334,1400,1400,1506
,歳出,,,,,
総額,24034000,24570341,23736438,24458000,25098360,24628155
制度運営費,703960,703960,581731,739298,781195,694080
保険給付費,21998399,21998399,21416966,22372040,22372040,22114458
地域支援事業費,1239477,1239477,1123632,1252520,1252520,1140727
基金積立金,1,355921,355921,1,385991,385991
諸支出金,82163,262584,258187,84141,296614,292900
予備費,10000,10000,0,10000,10000,0
注）　計数は各項目で四捨五入しているため，合計が合わないことがある。,,,,,,
資料　中野区「当初予算書」「主要施策の成果（決算説明資料）」,,,,,,
