目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3
７．年齢別･男女別人口（令和7年1月1日）,,,
年齢,人口,,
,総数,男,女
総数,341322,172721,168601
0～14歳,30070,15434,14636
15～64歳,244516,128816,115700
65～74歳,27818,13563,14255
75歳以上,38918,14908,24010
0歳,2026,1018,1008
1,1993,1051,942
2,2020,1042,978
3,1954,1021,933
4,1965,1044,921
5,1985,1005,980
6,2051,1064,987
7,2075,1045,1030
8,2081,1063,1018
9,2080,1051,1029
10,2052,1047,1005
11,2011,1038,973
12,1967,1011,956
13,1961,999,962
14,1849,935,914
15,1938,985,953
16,1814,938,876
17,1783,904,879
18,2252,1190,1062
19,2960,1574,1386
20,3262,1696,1566
21,3411,1751,1660
22,4314,2243,2071
23,5657,2815,2842
24,6412,3235,3177
25,6526,3393,3133
26,6966,3572,3394
27,6819,3516,3303
28,6962,3605,3357
29,6580,3391,3189
30,6740,3470,3270
31,6233,3282,2951
32,6182,3324,2858
33,5797,3088,2709
34,5689,3054,2635
35,5433,2983,2450
36,5656,2971,2685
37,5372,2909,2463
38,5441,2951,2490
39,5326,2901,2425
40,5443,3035,2408
41,5440,2946,2494
42,5317,2887,2430
43,5172,2833,2339
44,5048,2734,2314
45,5258,2791,2467
46,5165,2841,2324
47,5154,2740,2414
48,5288,2881,2407
49,5230,2806,2424
50,5435,2912,2523
51,5421,2820,2601
52,5219,2710,2509
53,5195,2659,2536
54,4905,2576,2329
55,4866,2552,2314
56,4816,2549,2267
57,4872,2552,2320
58,3425,1820,1605
59,4487,2312,2175
60,4008,2131,1877
61,3833,1913,1920
62,3444,1763,1681
63,3290,1649,1641
64,3260,1663,1597
65,3036,1539,1497
66,3095,1559,1536
67,2567,1262,1305
68,2623,1305,1318
69,2662,1301,1361
70,2606,1253,1353
71,2626,1252,1374
72,2691,1323,1368
73,2977,1380,1597
74,2935,1389,1546
75,3444,1553,1891
76,3364,1581,1783
77,3343,1516,1827
78,2283,970,1313
79,2021,871,1150
80,2259,929,1330
81,2404,974,1430
82,2301,947,1354
83,2220,836,1384
84,1865,707,1158
85,1574,534,1040
86,1490,516,974
87,1615,531,1084
88,1467,487,980
89,1421,444,977
90,1115,333,782
91,1043,289,754
92,858,246,612
93,710,196,514
94,578,143,435
95,439,99,340
96,314,56,258
97,259,58,201
98,187,42,145
99,135,19,116
100,97,16,81
101,36,9,27
102,33,3,30
103,15,0,15
104,16,2,14
105,7,0,7
106,3,0,3
107,0,0,0
108,2,1,1
109,0,0,0
110,0,0,0
注）　住民基本台帳法の一部改正に伴い，外国人世帯・人口を含む。,,,
資料　戸籍住民課,,,
