目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
３３．産業小分類別，従業者規模別民営事業所数及び従業者数（令和3年6月1日）,,,,,,,,,,,,,
産業分類,,,,,従業者規模,,,,,,,,
,,,,事業所数,1～4人,5～9人,10～19人,20～29人,30～49人,50～99人,100人以上,"派遣従業者
のみ",従業者数
A～R,,全産業,,11962,7500,2078,1225,454,321,175,156,53,125996
A,農業，林業,,,3,3,-,-,-,-,-,-,-,5
,01,農業,,3,3,-,-,-,-,-,-,-,5
,,010,管理，補助的経済活動を行う事業所,1,1,-,-,-,-,-,-,-,1
,,011,耕種農業,-,-,-,-,-,-,-,-,-,-
,,012,畜産農業,-,-,-,-,-,-,-,-,-,-
,,013,農業サービス業（園芸サービス業を除く）,-,-,-,-,-,-,-,-,-,-
,,014,園芸サービス業,2,2,-,-,-,-,-,-,-,4
,02,林業,,-,-,-,-,-,-,-,-,-,-
,,020,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,021,育林業,-,-,-,-,-,-,-,-,-,-
,,022,素材生産業,-,-,-,-,-,-,-,-,-,-
,,023,特用林産物生産業（きのこ類の栽培を除く）,-,-,-,-,-,-,-,-,-,-
,,024,林業サービス業,-,-,-,-,-,-,-,-,-,-
,,029,その他の林業,-,-,-,-,-,-,-,-,-,-
B,漁業,,,-,-,-,-,-,-,-,-,-,-
,03,漁業（水産養殖業を除く）,,-,-,-,-,-,-,-,-,-,-
,,030,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,031,海面漁業,-,-,-,-,-,-,-,-,-,-
,,032,内水面漁業,-,-,-,-,-,-,-,-,-,-
,04,水産養殖業,,-,-,-,-,-,-,-,-,-,-
,,040,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,041,海面養殖業,-,-,-,-,-,-,-,-,-,-
,,042,内水面養殖業,-,-,-,-,-,-,-,-,-,-
C,鉱業，採石業，砂利採取業,,,-,-,-,-,-,-,-,-,-,-
,05,鉱業，採石業，砂利採取業,,-,-,-,-,-,-,-,-,-,-
,,050,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,051,金属鉱業,-,-,-,-,-,-,-,-,-,-
,,052,石炭・亜炭鉱業,-,-,-,-,-,-,-,-,-,-
,,053,原油・天然ガス鉱業,-,-,-,-,-,-,-,-,-,-
,,054,採石業，砂・砂利・玉石採取業,-,-,-,-,-,-,-,-,-,-
,,055,窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）,-,-,-,-,-,-,-,-,-,-
,,059,その他の鉱業,-,-,-,-,-,-,-,-,-,-
D,建設業,,,821,473,174,100,25,24,11,11,3,8097
,06,総合工事業,,291,172,59,30,8,14,4,2,2,2541
,,060,管理，補助的経済活動を行う事業所,1,-,-,1,-,-,-,-,-,15
,,061,一般土木建築工事業,7,4,-,1,1,-,-,-,1,45
,,062,土木工事業（舗装工事業を除く）,27,9,7,7,-,3,-,1,-,458
,,063,舗装工事業,6,1,-,3,2,-,-,-,-,92
,,064,建築工事業（木造建築工事業を除く）,103,51,22,15,5,7,1,1,1,"1,053"
,,065,木造建築工事業,40,32,7,-,-,-,1,-,-,192
,,066,建築リフォーム工事業,107,75,23,3,-,4,2,-,-,686
,07,職別工事業（設備工事業を除く）,,307,183,66,38,12,3,2,3,-,"2,410"
,,070,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,071,大工工事業,18,12,3,1,2,-,-,-,-,113
,,072,とび・土工・コンクリート工事業,25,16,4,-,4,-,-,1,-,289
,,073,鉄骨・鉄筋工事業,5,2,2,1,-,-,-,-,-,32
,,074,石工・れんが・タイル・ブロック工事業,20,10,6,3,1,-,-,-,-,115
,,075,左官工事業,11,4,3,-,3,1,-,-,-,142
,,076,板金・金物工事業,10,7,2,1,-,-,-,-,-,43
,,077,塗装工事業,40,22,10,8,-,-,-,-,-,212
,,078,床・内装工事業,111,72,20,14,2,1,1,1,-,922
,,079,その他の職別工事業,67,38,16,10,-,1,1,1,-,542
,08,設備工事業,,223,118,49,32,5,7,5,6,1,"3,146"
,,080,管理，補助的経済活動を行う事業所,2,1,-,1,-,-,-,-,-,15
,,081,電気工事業,83,49,16,13,1,1,2,1,-,716
,,082,電気通信・信号装置工事業,26,13,3,5,1,-,2,2,-,869
,,083,管工事業（さく井工事業を除く）,86,42,24,8,3,4,1,3,1,"1,335"
,,084,機械器具設置工事業,16,7,5,2,-,2,-,-,-,151
,,089,その他の設備工事業,10,6,1,3,-,-,-,-,-,60
E,製造業,,,344,216,56,41,9,8,5,5,4,"3,094"
,09,食料品製造業,,27,12,4,7,2,1,1,-,-,333
,,090,管理，補助的経済活動を行う事業所,4,-,2,2,-,-,-,-,-,35
,,091,畜産食料品製造業,1,-,-,-,1,-,-,-,-,29
,,092,水産食料品製造業,2,2,-,-,-,-,-,-,-,5
,,093,野菜缶詰・果実缶詰・農産保存食料品製造業,2,-,-,1,1,-,-,-,-,41
,,094,調味料製造業,1,1,-,-,-,-,-,-,-,1
,,095,糖類製造業,-,-,-,-,-,-,-,-,-,-
,,096,精穀・製粉業,-,-,-,-,-,-,-,-,-,-
,,097,パン・菓子製造業,5,3,-,1,-,-,1,-,-,93
,,098,動植物油脂製造業,-,-,-,-,-,-,-,-,-,-
,,099,その他の食料品製造業,12,6,2,3,-,1,-,-,-,129
,10,飲料・たばこ・飼料製造業,,8,2,4,-,-,-,-,2,-,262
,,100,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,101,清涼飲料製造業,1,-,1,-,-,-,-,-,-,8
,,102,酒類製造業,2,-,-,-,-,-,-,2,-,228
,,103,茶・コーヒー製造業（清涼飲料を除く）,4,1,3,-,-,-,-,-,-,24
,,104,製氷業,-,-,-,-,-,-,-,-,-,-
,,105,たばこ製造業,-,-,-,-,-,-,-,-,-,-
,,106,飼料・有機質肥料製造業,1,1,-,-,-,-,-,-,-,2
,11,繊維工業,,40,29,6,4,-,-,-,-,1,152
,,110,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,111,製糸業，紡績業，化学繊維・ねん糸等製造業,-,-,-,-,-,-,-,-,-,-
,,112,織物業,1,1,-,-,-,-,-,-,-,1
,,113,ニット生地製造業,-,-,-,-,-,-,-,-,-,-
,,114,染色整理業,2,1,-,1,-,-,-,-,-,14
,,115,綱・網・レース・繊維粗製品製造業,2,2,-,-,-,-,-,-,-,6
,,116,外衣・シャツ製造業（和式を除く）,16,11,3,1,-,-,-,-,1,61
,,117,下着類製造業,1,-,1,-,-,-,-,-,-,5
,,118,和装製品・その他の身の回り品製造業,8,6,1,1,-,-,-,-,-,35
,,119,その他の繊維製品製造工業,10,8,1,1,-,-,-,-,-,30
,12,木材・木製品製造業（家具を除く）,,3,3,-,-,-,-,-,-,-,5
,,120,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,121,製材業，木製品製造業,-,-,-,-,-,-,-,-,-,-
,,122,造作材・合板・建築用組立材料製造業,1,1,-,-,-,-,-,-,-,1
,,123,木製容器製造業（竹，とうを含む）,1,1,-,-,-,-,-,-,-,1
,,129,その他の木製品製造業（竹，とうを含む）,1,1,-,-,-,-,-,-,-,3
,13,家具・装備品製造業,,10,10,-,-,-,-,-,-,-,22
,,130,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,131,家具製造業,4,4,-,-,-,-,-,-,-,8
,,132,宗教用具製造業,1,1,-,-,-,-,-,-,-,1
,,133,建具製造業,4,4,-,-,-,-,-,-,-,11
,,139,その他の家具・装備品製造業,1,1,-,-,-,-,-,-,-,2
,14,パルプ・紙・紙加工品製造業,,6,3,-,2,1,-,-,-,-,62
,,140,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,141,パルプ製造業,-,-,-,-,-,-,-,-,-,-
,,142,紙製造業,-,-,-,-,-,-,-,-,-,-
,,143,加工紙製造業,1,-,-,1,-,-,-,-,-,15
,,144,紙製品製造業,1,1,-,-,-,-,-,-,-,1
,,145,紙製容器製造業,3,2,-,-,1,-,-,-,-,34
,,149,その他のパルプ・紙・紙加工品製造業,1,-,-,1,-,-,-,-,-,12
,15,印刷・同関連業,,70,50,11,6,1,2,-,-,-,368
,,150,管理，補助的経済活動を行う事業所,1,-,1,-,-,-,-,-,-,6
,,151,印刷業,60,44,8,5,1,2,-,-,-,315
,,152,製版業,2,-,2,-,-,-,-,-,-,11
,,153,製本業，印刷物加工業,7,6,-,1,-,-,-,-,-,36
,,159,印刷関連サービス業,-,-,-,-,-,-,-,-,-,-
,16,化学工業,,15,7,4,1,-,2,1,-,-,240
,,160,管理，補助的経済活動を行う事業所,1,-,-,-,-,1,-,-,-,43
,,161,化学肥料製造業,-,-,-,-,-,-,-,-,-,-
,,162,無機化学工業製品製造業,1,1,-,-,-,-,-,-,-,3
,,163,有機化学工業製品製造業,-,-,-,-,-,-,-,-,-,-
,,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,1,1,-,-,-,-,-,-,-,4
,,165,医薬品製造業,4,1,2,-,-,-,1,-,-,108
,,166,化粧品・歯磨・その他の化粧用調整品製造業,8,4,2,1,-,1,-,-,-,82
,,169,その他の化学工業,-,-,-,-,-,-,-,-,-,-
,17,石油製品・石炭製品製造業,,-,-,-,-,-,-,-,-,-,-
,,170,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,171,石油精製業,-,-,-,-,-,-,-,-,-,-
,,172,潤滑油・グリース製造業（石油精製業によらないもの）,-,-,-,-,-,-,-,-,-,-
,,173,コークス製造業,-,-,-,-,-,-,-,-,-,-
,,174,舗装材料製造業,-,-,-,-,-,-,-,-,-,-
,,179,その他の石油製品・石炭製品製造業,-,-,-,-,-,-,-,-,-,-
,18,プラスチック製品製造業（別掲を除く）,,8,6,1,1,-,-,-,-,-,38
,,180,管理，補助的経済活動を行う事業所,1,1,-,-,-,-,-,-,-,1
,,181,プラスチック板・棒・管・継手・異形押出製品製造業,1,1,-,-,-,-,-,-,-,1
,,182,プラスチックフィルム・シート・床材・合成皮革製造業,1,1,-,-,-,-,-,-,-,3
,,183,工業用プラスチック製品製造業,2,1,1,-,-,-,-,-,-,10
,,184,発泡・強化プラスチック製品製造業,-,-,-,-,-,-,-,-,-,-
,,185,プラスチック成形材料製造業（廃プラスチックを含む）,-,-,-,-,-,-,-,-,-,-
,,189,その他のプラスチック製品製造業,3,2,-,1,-,-,-,-,-,23
,19,ゴム製品製造業,,2,1,-,1,-,-,-,-,-,15
,,190,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,191,タイヤ・チューブ製造業,-,-,-,-,-,-,-,-,-,-
,,192,ゴム製・プラスチック製履物・同附属品製造業,-,-,-,-,-,-,-,-,-,-
,,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,1,-,-,1,-,-,-,-,-,14
,,199,その他のゴム製品製造業,1,1,-,-,-,-,-,-,-,1
,20,なめし革・同製品・毛皮製造業,,6,5,1,-,-,-,-,-,-,13
,,200,管理，補助的経済活動を行う事業所,-,-,-,-,-,-,-,-,-,-
,,201,なめし革製造業,-,-,-,-,-,-,-,-,-,-
,,202,工業用革製品製造業（手袋を除く）,-,-,-,-,-,-,-,-,-,-
,,203,革製履物用材料・同附属品製造業,-,-,-,-,-,-,-,-,-,-
,,204,革製履物製造業,1,1,-,-,-,-,-,-,-,1
,,205,革製手袋製造業,-,-,-,-,-,-,-,-,-,-
,,206,かばん製造業,2,2,-,-,-,-,-,-,-,3
,,207,袋物製造業,3,2,1,-,-,-,-,-,-,9
,,208,毛皮製造業,-,-,-,-,-,-,-,-,-,-
,,209,その他のなめし革製品製造業,-,-,-,-,-,-,-,-,-,-
,21,窯業・土石製品製造業,,7,1,2,3,-,-,-,-,1,53
