目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
３７．産業中分類別，従業者規模別工場数，従業者数，製造品出荷額等（平成30～令和3年）,,,,,,,,,,,,,
産業中分類,,平成30年,,,令和元年,,,令和2年,,,令和3年,,
,,事業所数,従業者数,製造品出荷額等,事業所数,従業者数,製造品出荷額等,事業所数,従業者数,製造品出荷額等,事業所数,従業者数,製造品出荷額等
,,,人,万円,,人,万円,,人,万円,,人,万円
09～32総数,,63,811,1289632,59,799,1320295,58,762,1129916,50,663,984546
,,,,,,,,,,,,,
09,食料品製造業,8,120,212837,6,115,212160,6,125,191635,5,77,119372
10,飲料・たばこ・飼料製造業,2,14,x,2,14,x,2,13,x,3,20,12635
11,繊維工業,7,107,82896,6,98,69411,6,100,83326,5,43,22610
12,木材・木製品製造業（家具を除く）,-,-,-,-,-,-,-,-,-,-,-,-
13,家具・装備品製造業,1,4,x,1,4,x,1,4,x,-,-,-
14,パルプ・紙・紙加工品製造業,3,45,76225,3,45,70312,3,44,70908,3,47,73614
15,印刷・同関連業,14,144,224828,13,149,223269,11,89,124202,11,144,290498
16,化学工業,2,17,x,2,17,x,2,29,x,3,31,72871
18,プラスチック製品製造業（別掲を除く）,-,-,-,-,-,-,1,5,x,2,11,x
20,なめし革・同製品・毛皮製造業,-,-,-,1,7,x,1,7,x,1,6,x
21,窯業・土石製品製造業,1,4,x,2,12,x,2,9,x,1,4,x
23,非鉄金属製造業,-,-,-,-,-,-,-,-,-,-,-,-
24,金属製品製造業,5,89,99025,4,73,106892,4,71,114986,4,52,38760
25,はん用機械器具製造業,-,-,-,-,-,-,-,-,-,-,-,-
26,生産用機械器具製造業,4,54,96619,5,67,131217,4,61,93721,4,64,76807
27,業務用機械器具製造業,5,100,267545,4,96,262194,5,107,212972,1,62,x
28,電子部品・デバイス・電子回路製造業,1,5,x,1,5,x,1,5,x,2,22,x
29,電気機械器具製造業,3,36,x,2,28,x,2,23,x,3,57,72109
30,情報通信機械器具製造業,-,-,-,-,-,-,-,-,-,-,-,-
31,輸送用機械器具製造業,1,19,x,1,20,x,1,20,x,1,15,x
32,その他の製造業,6,53,87301,6,49,x,6,50,77337,1,8,x
注）　産業分類の項目名は，適宜簡略化した。,,,,,,,,,,,,,
　　　令和2年以前の数値は工業統計調査、令和3年以降については経済センサス-活動調査の結果による。,,,,,,,,,,,,,
　　　令和3年の数値は個人経営を含まない。,,,,,,,,,,,,,
資料　東京都総務局統計部産業統計課「工業統計調査報告」,,,,,,,,,,,,,
　　　総務省統計局「令和3年経済センサス-活動調査（産業別集計）」,,,,,,,,,,,,,
