目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
９０．国民年金保険の状況（令和元～令和5年度）,,,,,,,,,,,,,,
給付状況,,,,,,,,,,,,,,
,,拠出制年金,,,,,,,,,,,無拠出制年金,福祉年金
年度,総数,総数,老齢給付,,,障害給付,,遺族給付 ,,,,,障害給付,老齢福祉
,,,老齢基礎,老齢,通算老齢,障害基礎,障害（旧法）,遺族基礎,母子,遺児,寡婦,死亡一時金,障害基礎,
令和元年度,64830,63001,59917,1139,871,886,71,45,-,-,23,49,1824,5
2,64821,62969,60176,976,721,914,61,54,-,-,24,43,1848,4
3,64639,62770,60153,873,598,958,53,55,-,-,28,52,1865,4
4,64149,62232,59815,768,494,978,48,59,-,-,29,41,1913,4
5,63823,61855,59627,696,393,1013,44,58,-,-,24,…,1964,4
注）　事務処理方法に変更が生じたことにより、令和5年度以降の死亡一時金の市区町村別件数を抽出できなくなったため、令和4年度のデータが最新となる。,,,,,,,,,,,,,,
資料　中野年金事務所,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
収納状況,,,,,,,,,,,,,,
年度,納付対象月数,納付月数,納付率（％）,,,,,,,,,,,
令和元年度,462671,262857,56.8,,,,,,,,,,,
2,435352,261600,60.1,,,,,,,,,,,
3,426492,266112,62.4,,,,,,,,,,,
4,418218,272473,65.2,,,,,,,,,,,
5,411447,278281,67.6,,,,,,,,,,,
資料　中野年金事務所,,,,,,,,,,,,,,
