目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
４０．産業，従業上の地位別就業者数（令和2年10月1日）,,,,,,,,,,,,
産業分類,,総数,雇用者,,,,役員,雇人のある業主,雇人のない業主,家族従業者,家庭内職者,不詳
,,（従業上の地位）,,"正規の職員・
従業員",労働者派遣事業所の派遣社員,"パート・アルバイト・
その他",,,,,,
総数,,140355,113099,80214,5167,27718,10088,2279,10524,1833,77,2455
Ａ,農業，林業,147,74,44,2,28,8,5,47,13,-,-
,うち農業,143,71,41,2,28,8,5,46,13,-,-
Ｂ,漁業,6,3,3,-,-,1,1,-,1,-,-
Ｃ,鉱業，採石業，砂利採取業,32,29,26,1,2,3,-,-,-,-,-
Ｄ,建設業,6087,4181,3618,166,397,1043,112,618,88,-,45
Ｅ,製造業,8924,7697,6737,316,644,808,30,256,24,69,40
Ｆ,電気・ガス・熱供給・水道業,462,451,393,37,21,10,-,-,-,-,1
Ｇ,情報通信業,19824,17062,15154,859,1049,1438,99,1150,39,-,36
Ｈ,運輸業，郵便業,4277,3532,2562,179,791,229,20,457,7,-,32
I,卸売業，小売業,19103,16200,9815,537,5848,1592,230,674,309,-,98
Ｊ,金融業，保険業,6603,6335,5490,369,476,184,16,47,4,-,17
Ｋ,不動産業，物品賃貸業,6624,3723,2744,140,839,1395,127,1130,216,-,33
Ｌ,学術研究，専門・技術サービス業,11710,7434,6232,308,894,1158,437,2418,233,-,30
Ｍ,宿泊業，飲食サービス業,8542,6867,2616,88,4163,361,379,524,333,-,78
Ｎ,生活関連サービス業，娯楽業,5906,3746,2204,97,1445,485,265,1157,216,2,35
Ｏ,教育，学習支援業,6909,5881,3577,205,2099,275,100,582,34,-,37
Ｐ,医療，福祉,13254,12017,7666,393,3958,334,355,311,169,-,68
Ｑ,複合サービス事業,427,420,318,6,96,3,-,-,-,-,4
Ｒ,サービス業（他に分類されないもの）,12335,10780,6201,796,3783,657,59,700,35,6,98
Ｓ,公務（他に分類されるものを除く）,4555,4555,4038,101,416,-,-,-,-,-,-
Ｔ,分類不能の産業,4628,2112,776,567,769,104,44,453,112,-,1803
（再掲）第1次産業,,153,77,47,2,28,9,6,47,14,-,-
（再掲）第2次産業,,15043,11907,10381,483,1043,1854,142,874,112,69,85
（再掲）第3次産業,,120531,99003,69010,4115,25878,8121,2087,9150,1595,8,567
資料　総務省統計局「令和2年国勢調査　就業状態等基本集計」,,,,,,,,,,,,
