目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3
１５．国籍別外国人数（令和5～令和7年）,,,（各年1月1日現在）
国籍,令和5年,令和6年,令和7年
総数,18272,21213,24632
男,9527,11166,13104
女,8745,10047,11528
,,,
アイスランド,1,1,3
アイルランド,13,15,15
アゼルバイジャン,1,1,2
アフガニスタン,-,-,5
アラブ首長国連邦,-,4,4
アルジェリア,2,2,5
アルゼンチン,17,25,40
アルメニア,1,1,-
アンゴラ,1,1,1
イエメン,1,2,-
イスラエル,10,11,14
イタリア,93,99,114
イラク,1,2,1
イラン,34,37,38
インド,97,125,133
インドネシア,139,188,232
ウガンダ,7,7,7
ウクライナ,20,17,20
ウズベキスタン,101,160,207
ウルグアイ,1,2,3
英国,194,207,207
エクアドル,3,3,3
エジプト,6,10,10
エストニア,-,-,1
エルサルバドル,1,1,1
オーストラリア,107,120,119
オーストリア,8,9,9
オマーン,-,1,1
オランダ,13,24,21
ガーナ,11,10,10
カザフスタン,6,12,7
カタール,1,1,-
カナダ,112,127,132
カメルーン,-,3,5
韓国又は朝鮮,2700,2811,2905
ガンビア,-,-,1
カンボジア,17,37,44
ギニア,5,4,6
キプロス,-,-,1
キューバ,1,2,1
ギリシャ,2,3,7
キルギス,10,6,5
グアテマラ,1,1,-
クロアチア,-,1,2
ケニア,4,3,6
コートジボワール,3,2,1
コスタリカ,6,5,3
コロンビア,12,12,16
コンゴ民主共和国,4,8,7
サウジアラビア,6,8,8
サモア,1,1,1
ザンビア,1,-,-
シエラレオネ,1,-,-
ジャマイカ,4,5,5
ジョージア,1,1,1
シリア,3,2,3
シンガポール,40,53,61
スイス,19,17,18
スウェーデン,28,23,31
スーダン,1,1,-
スペイン,84,94,107
スリランカ,166,328,459
スロバキア,5,5,5
スロベニア,1,-,2
セネガル,5,4,6
セルビア,-,3,1
セルビア・モンテネグロ,1,-,-
セントクリストファー・ネービス,1,-,-
ソロモン諸島,1,1,1
タイ,247,257,284
台湾,800,934,1013
タジキスタン,-,2,-
タンザニア,2,2,2
チェコ,4,4,5
中央アフリカ,1,1,-
中国,6819,7927,8832
チュニジア,4,3,7
チリ,29,33,32
デンマーク,7,12,10
ドイツ,84,93,121
トーゴ,1,2,2
ドミニカ共和国,2,2,2
トリニダード・トバゴ,1,2,1
トルクメニスタン,-,-,-
トルコ,72,75,102
トンガ,-,-,-
ナイジェリア,16,15,21
ナミビア,1,2,-
ニカラグア,-,-,-
ニュー・ジーランド,16,18,21
ネパール,1984,2305,3184
ノルウェー,6,9,12
バーレーン,1,1,1
パキスタン,16,23,36
バヌアツ,-,-,1
パプア・ニューギニア,1,-,-
パラオ,1,1,1
パラグアイ,3,3,4
バルバドス,-,1,1
ハンガリー,8,9,9
バングラデシュ,104,122,145
東ティモール,1,1,1
フィジー,1,2,1
フィリピン,544,557,583
フィンランド,15,14,8
ブータン,-,1,-
ブラジル,103,104,111
フランス,261,283,311
ブルガリア,3,2,2
ブルキナファソ,-,-,1
ブルネイ,1,2,2
ブルンジ,1,2,2
米国,540,594,618
ベトナム,1419,1728,2163
ベネズエラ,5,4,4
ベラルーシ,3,6,3
ベリーズ,1,1,1
ペルー,42,44,39
ベルギー,15,17,24
ポーランド,23,22,26
ボツワナ,1,-,1
ボリビア,6,7,6
ポルトガル,10,8,10
マラウイ,-,-,2
マリ,2,5,5
マルタ,-,1,-
マレーシア,96,103,128
南アフリカ共和国,4,6,8
ミャンマー,522,813,1221
メキシコ,30,28,34
モーリシャス,-,1,1
モーリタニア,-,1,-
モルディブ,-,2,1
モロッコ,3,4,8
モンゴル,104,146,187
ヨルダン,-,-,1
ラオス,4,7,8
ラトビア,1,2,1
リトアニア,8,8,7
リベリア,1,1,1
ルーマニア,6,6,6
ルクセンブルグ,1,2,1
ルワンダ,-,-,1
レバノン,1,1,1
ロシア,119,136,148
無国籍,9,14,12
資料　戸籍住民課,,,
