目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
３０．区内4地域別将来人口推計（中期）（2025～2035年）,,,,,,,,,,,
地域,2025年,2026年,2027年,2028年,2029年,2030年,2031年,2032年,2033年,2034年,2035年
4地域計,341322,343580,345918,348476,351238,354109,357128,360278,363612,367076,370738
中部,103341,104055,104824,105710,106693,107732,108873,110093,111387,112771,114234
南部,74461,74943,75432,75927,76438,76962,77492,78040,78648,79258,79907
北部,89444,89904,90367,90894,91465,92060,92688,93329,93992,94679,95406
鷺宮,74076,74678,75295,75945,76642,77355,78075,78816,79585,80368,81191
（各地区の割合）,,,,,,,,,,,
中部,0.3027668887443528,0.30285523022294664,0.3030313542515856,0.3033494415684294,0.3037626908250246,0.3042340070430291,0.3048570820546135,0.30557791483243496,0.3063347744298868,0.30721430984319326,0.308125954177883
南部,0.21815470435541806,0.2181238721695093,0.21806324042114028,0.2178830105947038,0.21762451670946764,0.21733985863109948,0.21698662664366838,0.216610506331222,0.21629649186495495,0.2159171397748695,0.21553495999870528
北部,0.262051669684345,0.2616683159671692,0.2612382125243555,0.2608328837567006,0.2604074729955187,0.2599764479298747,0.2595371967473847,0.25904718023304224,0.25849531918638546,0.2579275136483998,0.2573407635580922
鷺宮,0.2170267372158841,0.21735258164037488,0.2176671928029186,0.2179346640801662,0.218205319469989,0.2184496863959967,0.21861909455433345,0.2187643986033008,0.21887341451877276,0.21894103673353746,0.21899832226531946
（年少人口割合）,,,,,,,,,,,
中部,8.3,8.3,8.200000000000001,8.1,8,7.9,7.7,7.6,7.5,7.3999999999999995,7.3
南部,8,8,7.9,7.8,7.7,7.6,7.5,7.3,7.199999999999999,7.199999999999999,7.199999999999999
北部,8.9,8.799999999999999,8.7,8.6,8.4,8.3,8.200000000000001,8.1,7.9,7.8,7.8
鷺宮,10.100000000000001,10.100000000000001,10.100000000000001,10,9.9,9.8,9.700000000000001,9.6,9.5,9.4,9.4
（生産年齢人口割合）,,,,,,,,,,,
中部,73.7,73.9,74.1,74.4,74.6,74.7,74.9,75.2,75.3,75.4,75.5
南部,72.7,72.89999999999999,73.2,73.4,73.6,73.9,73.9,74.3,74.3,74.2,74.2
北部,70.5,70.7,70.89999999999999,71.1,71.3,71.39999999999999,71.5,71.8,71.8,71.8,71.7
鷺宮,69.19999999999999,69.3,69.5,69.69999999999999,69.89999999999999,70,70,70.39999999999999,70.39999999999999,70.39999999999999,70.5
（老年人口割合）,,,,,,,,,,,
中部,18,17.8,17.599999999999998,17.5,17.4,17.4,17.4,17.1,17.2,17.2,17.1
南部,19.3,19.2,19,18.8,18.7,18.6,18.6,18.3,18.5,18.6,18.7
北部,20.599999999999998,20.5,20.4,20.3,20.3,20.3,20.3,20.200000000000003,20.3,20.4,20.5
鷺宮,20.7,20.599999999999998,20.4,20.3,20.200000000000003,20.200000000000003,20.3,20,20.1,20.200000000000003,20.200000000000003
注）　2025年1月1日現在の住民基本台帳上の人口を基準として算出（外国人を含む）,,,,,,,,,,,
　　　なお，4地域別の人口をもとに算出しているため，4地域別の推計値の合計は，区全体で算出した推計値と一致しない。,,,,,,,,,,,
　　　中部（中野，中央，上高田，東中野）,,,,,,,,,,,
　　　南部（南台，弥生町，本町）,,,,,,,,,,,
　　　北部（新井，沼袋，野方，松が丘，江古田，江原町，丸山）,,,,,,,,,,,
　　　鷺宮（大和町，若宮，白鷺，鷺宮，上鷺宮）,,,,,,,,,,,
資料　総務課,,,,,,,,,,,
