目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
１０４．学童クラブ･児童館の利用者数（令和元～令和5年度）,,,,,,
学童クラブ利用状況,,,,,,
年度,クラブ数,定員,延在籍児童数,,,
令和元年度,26,1592,17300,,,
2,25,1596,17494,,,
3,25,1638,18046,,,
4,25,1703,19146,,,
5,25,1713,19070,,,
資料　育成活動推進課,,,,,,
,,,,,,
民間学童クラブ在籍状況,,,,,,
年度,クラブ数,定員,延在籍児童数,,,
令和元年度,12,469,4239,,,
2,16,622,5686,,,
3,17,672,5865,,,
4,17,672,5617,,,
5,17,675,5535,,,
資料　育成活動推進課,,,,,,
,,,,,,
児童館利用状況,,,,,,
年度,乳幼児,小学生,中学生,高校生,成人,合計
令和元年度,83939,266423,6639,1235,75266,433502
2,48993,163519,4081,668,51259,268520
3,62301,173825,7422,884,51335,295767
4,66402,174222,6578,542,50631,298375
5,72685,199165,7948,1004,57193,337995
資料　育成活動推進課,,,,,,
