目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
８４．国民健康保険の状況（令和元～令和5年度）,,,,,,,,,,
給付状況,,,,,,,,,,
（単位：金額千円）,,,,,,,,,,
年度,被保険者世帯数,被保険者数,受診件数,受診率（％）,費用額,,,,,
,,,,,総額,保険者負担分,被保険者負担分,,他法負担分,
,,,,,,,,薬剤一部負担分,他法優先,国保優先
令和元年度,63926,81989,100318,122,23332458,16905430,5679011,-,-,748017
2,61444,78589,86662,110,22531317,16350085,5408536,-,-,772696
3,59014,75467,92521,123,24172060,17533772,5735261,-,-,903027
4,58680,74007,92858,125,22985783,16688090,5400805,-,-,896888
5,57556,71706,93014,130,22875675,16569690,5496026,-,-,809960
注）　被保険者世帯数，被保険者数，受診件数の各年度の数字は平均値,,,,,,,,,,
資料　保険医療課,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
収納状況,,,,,,,,,,
（単位：金額千円）,,,,,,,,,,
年度,総額,,,現年分,,,滞納繰越分,,,
,調定額,収納額,収納率（％）,調定額,収納額,収納率（％）,調定額,収納額,収納率（％）,
令和元年度,12239164,8789866,71.81753590359602,9809868,8324999,84.86351702183964,2429296,464867,19.13587310891715,
2,12089389,8466012,70.02845222368144,9352374,8025909,85.81680972125366,2737015,440103,16.07967073618522,
3,12001172,8504174,70.86119588986809,9237115,8069910,87.36396591359966,2764057,434264,15.711108707237223,
4,12006849,8974658,74.74615529853003,9696603,8571480,88.39673027760341,2310246,403178,17.451734577183554,
5,11636123,8740591,75.12,9499303,8408554,88.52,2136820,332037,15.54,
注）　数値は決算資料による。,,,,,,,,,,
資料　保険医療課,,,,,,,,,,
