目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
１０２．環境衛生関係施設数･食品衛生営業施設数（令和2～令和6年）,,,,,（各年3月31日現在）
区分,令和2年,令和3年,令和4年,令和5年,令和6年
総数,11657,11721,10823,10652,10540
理容所,205,200,200,198,197
美容所,521,528,535,549,564
クリーニング所,262,264,255,255,249
旅館業,87,103,104,107,127
公衆浴場,36,36,35,33,32
プール,52,52,53,51,51
水道施設,2503,2458,2420,2396,2379
うち小規模給水施設,2129,2093,2057,2039,2026
墓地等,44,44,44,44,44
特定建築物（3000㎡以上）,80,82,85,86,86
コイン・オペレーションクリーニング,120,128,130,130,132
コインシャワー,9,9,9,9,9
興行場,12,12,12,12,11
飲食店営業1),3803,3843,3933,3893,3871
喫茶店営業,243,224,172,99,64
調理機能を有する自動販売機2),-,-,1,5,6
食品製造業1),487,539,534,512,475
食肉販売業1),294,322,120,114,106
魚介類販売業1),285,304,102,101,92
食肉処理業1),20,20,19,16,16
食品冷凍又は冷蔵業,4,4,3,3,3
注1)　令和4年以降の数値は、令和3年6月の食品衛生法改正により、改正前食品衛生法第52条に規定する許可と改正後食品衛生法第55条に規定する許可の合計値を記載している。,,,,,
注2)　令和3年6月に新設された許可業種,,,,,
資料　生活衛生課,,,,,
