目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
４７．住宅の耐震診断の有無（3区分），建築の時期（9区分），購入･新築･建て替え等（8区分）別持ち家数（令和5年10月1日）,,,,,,,,,
"住宅の耐震診断の
有無（3区分），
建築の時期（9区分）",総数,新築の住宅を購入,,,中古住宅を購入,"新築
（建て替えを除く）",建て替え,相続・贈与で取得,その他
,,総数,都市再生機構・公社など,民間,,,,,
持ち家総数,66860,22050,140,21920,14920,8750,9800,7160,4180
昭和45年以前,6230,450,20,430,2420,560,590,1600,600
昭和46年～55年,9380,1110,20,1090,4280,800,1190,1390,600
昭和56年～平成2年,8880,1680,-,1680,2160,1100,1850,1380,700
平成3年～12年,10270,2500,-,2500,2470,1640,2270,840,560
平成13年～17年,7500,3590,-,3590,1380,960,900,370,300
平成18年～22年,5810,2380,-,2380,990,710,870,380,480
平成23年～27年,8860,5320,40,5290,620,1350,720,540,310
平成28年～令和2年,6630,3780,-,3780,460,910,930,420,140
令和3年～5年,2780,1240,50,1180,60,660,380,160,290
耐震診断をしたことがある,14590,6380,80,6300,4110,1040,1460,890,720
昭和45年以前,750,60,-,60,490,50,90,70,-
昭和46年～55年,2500,500,20,470,1430,40,200,300,40
昭和56年～平成2年,750,190,-,190,190,60,150,120,30
平成3年～12年,1240,270,-,270,590,50,140,160,40
平成13年～17年,1640,930,-,930,620,20,50,-,30
平成18年～22年,1470,610,-,610,360,70,140,30,260
平成23年～27年,1690,1040,-,1040,350,110,90,60,40
平成28年～令和2年,2760,1780,-,1780,90,340,430,120,-
令和3年～5年,1790,1000,50,940,-,310,180,40,270
耐震性が確保されていた,12580,6270,50,6220,2710,980,1380,580,650
昭和45年以前,630,30,-,30,430,50,90,30,-
昭和46年～55年,880,440,-,440,210,20,120,100,-
昭和56年～平成2年,530,170,-,170,100,30,150,50,30
平成3年～12年,1240,270,-,270,590,50,140,160,40
平成13年～17年,1580,930,-,930,590,20,50,-,-
平成18年～22年,1470,610,-,610,360,70,140,30,260
平成23年～27年,1690,1040,-,1040,350,110,90,60,40
平成28年～令和2年,2760,1780,-,1780,90,340,430,120,-
令和3年～5年,1790,1000,50,940,-,310,180,40,270
耐震性が確保されていなかった,2010,110,20,80,1390,60,80,310,70
昭和45年以前,120,20,-,20,60,-,-,40,-
昭和46年～55年,1620,60,20,40,1220,20,80,200,40
昭和56年～平成2年,220,20,-,20,90,30,-,70,-
平成3年～12年,-,-,-,-,-,-,-,-,-
平成13年～17年,60,-,-,-,30,-,-,-,30
平成18年～22年,-,-,-,-,-,-,-,-,-
平成23年～27年,-,-,-,-,-,-,-,-,-
平成28年～令和2年,-,-,-,-,-,-,-,-,-
令和3年～5年,-,-,-,-,-,-,-,-,-
耐震診断をしたことはない,52270,15680,60,15620,10810,7710,8340,6270,3460
昭和45年以前,5480,400,20,370,1930,510,510,1530,600
昭和46年～55年,6880,620,-,620,2860,760,990,1090,560
昭和56年～平成2年,8130,1490,-,1490,1970,1040,1700,1260,670
平成3年～12年,9040,2220,-,2220,1880,1590,2140,680,520
平成13年～17年,5860,2660,-,2660,760,940,850,370,270
平成18年～22年,4340,1770,-,1770,630,640,720,350,220
平成23年～27年,7170,4280,40,4250,260,1240,630,480,270
平成28年～令和2年,3870,2000,-,2000,370,580,500,290,140
令和3年～5年,990,240,-,240,60,340,200,120,20
注）　建築の時期「不詳」を含む。,,,,,,,,,
資料　総務省統計局「令和5年住宅・土地統計調査報告」,,,,,,,,,
