目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
１００．区民健診の対象者数，受診者数，受診率の推移（平成31～令和5年度）,,,,,,
,,平成31年度,令和2年度,令和3年度,令和4年度,令和5年度
,対象者数,53125,50954,51696,50380,47877
国保特定健診,受診者数,19408,16702,17654,17119,"	16,599"
,受診率,0.365,0.328,0.341,0.34,0.347
,対象者数,35185,34701,35016,35989,36728
長寿（後期高齢者）健診,受診者数,15832,14957,14586,15083,15400
,受診率,0.45,0.431,0.417,0.419,0.419
,対象者数,35586,35401,34934,34374,34267
健康づくり健診,受診者数,1735,1598,1623,1654,1566
,受診率,0.049,0.045,0.046,0.048,0.045
,対象者数,13138,12909,12616,13459,13984
眼科検診,受診者数,1134,1048,1065,1283,1223
,受診率,0.086,0.081,0.084,0.095,0.087
,対象者数,173980,175786,176617,179399,180017
成人歯科健診,受診者数,4798,5775,5760,6498,6361
,受診率,0.027999999999999997,0.033,0.033,0.036,0.035
資料　中野区「決算特別委員会資料」,,,,,,
