目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
１０３．認可保育施設等の施設数･園児数の推移（令和2～令和6年）,,,,,,（各年3月1日現在）
（１）認可保育所数,,,,,,
年次,総数,,区立,,私立,
,園数,園児数,園数,園児数,園数,園児数
令和2年,73,5529,15,1410,58,4119
3,83,6019,12,1133,71,4886
4,87,6307,11,1047,76,5260
5,92,6488,10,923,82,5565
6,94,6632,10,919,84,5713
,,,,,,
0歳児,75,634,8,87,67,547
1,94,1225,10,152,84,1073
2,94,1226,10,148,84,1078
3,94,1219,10,175,84,1044
4歳以上,94,2328,10,357,84,1971
注）　総数は私立、区立の認可保育所の合計　分園は1施設として園数を算出,,,,,,
　　　0歳児，3歳児，4歳以上児については，当該児保育を実施している保育園数,,,,,,
　　　,,,,,,
（２）認定こども園・地域型保育事業,,,,,,
年次,認定こども園,,,,地域型保育事業,
,1号認定（幼稚園コース）,,2・3号認定（保育園コース）,,,
,園数,園児数,園数,園児数,園数,園児数
令和2年,3,215,3,228,26,253
3,3,233,3,241,25,236
4,3,181,3,252,24,210
5,3,223,3,254,23,189
6,3,225,3,250,19,166
,,,,,,
0歳児,-,-,2,18,18,43
1,-,-,3,34,18,65
2,-,-,3,45,18,56
3,3,76,3,52,0,0
4歳以上,3,149,3,101,1,2
注）　地域型保育事業：平成27年度の子ども・子育て支援新制度施行により新たに区市町村の認可事業として創設されたもので、,,,,,,
　　　家庭的保育事業、小規模保育事業、事業所内保育事業、居宅訪問型保育事業がある。,,,,,,
　　　2号・3号認定（保育園コース）の0歳児については、当該保育を実施している認定こども園数,,,,,,
資料　保育園・幼稚園課,,,,,,
