目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3
２５．従業地･通学地による常住市区町村別15歳以上就業者数及び15歳以上通学者数（令和2年10月1日）,,,
従業地･通学地による常住市区町村,総数,15歳以上就業者,15歳以上通学者
区内で従業・通学する者,130680,114986,15694
,,,
区内に常住,42983,40700,2283
自宅,17893,17893,-
自宅外,25090,22807,2283
,,,
他の区市町村に常住,82283,69249,13034
都内,56333,47669,8664
,,,
特別区部,38042,32431,5611
千代田区,130,115,15
中央区,291,235,56
港区,356,275,81
新宿区,2715,2384,331
文京区,618,500,118
台東区,338,284,54
墨田区,536,446,90
江東区,1132,905,227
品川区,759,634,125
目黒区,526,436,90
大田区,1046,869,177
世田谷区,2664,2150,514
渋谷区,1250,1075,175
杉並区,8805,7782,1023
豊島区,1336,1163,173
北区,959,830,129
荒川区,446,385,61
板橋区,1860,1586,274
練馬区,9014,7749,1265
足立区,1039,864,175
葛飾区,742,615,127
江戸川区,1480,1149,331
,,,
市・郡・島部,18291,15238,3053
八王子市,1199,1002,197
立川市,765,636,129
武蔵野市,1242,1090,152
三鷹市,1425,1239,186
青梅市,259,195,64
府中市,996,827,169
昭島市,384,332,52
調布市,935,817,118
町田市,686,568,118
小金井市,1116,988,128
小平市,1311,1051,260
日野市,701,613,88
東村山市,962,747,215
国分寺市,955,850,105
国立市,341,302,39
福生市,144,123,21
狛江市,273,223,50
東大和市,371,295,76
清瀬市,390,282,108
東久留米市,713,551,162
武蔵村山市,165,117,48
多摩市,352,301,51
稲城市,274,233,41
羽村市,126,87,39
あきる野市,159,113,46
西東京市,1970,1599,371
瑞穂町,41,29,12
日の出町,25,21,4
奥多摩町,9,7,2
その他の市町村,2,-,2
,,,
他県,25950,21580,4370
,,,
不詳,5414,5037,377
,,,
資料　総務省統計局「令和2年国勢調査　従業地・通学地による人口・就業状態等集計」,,,
