目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
３５．町丁，従業者規模･資本金階級別事業所数（平成28年6月1日）,,,,,,,,,,,,,,,,,,,,,,
,従業者規模別事業所,,,,,,,,,,,　,,資本金階級（会社の単独・本店のみ）,,,,,,,,
町丁別,総数,"1～
4人","5～
9人","10～
19人","20～
29人","30～
49人","50～
99人","100～
199人","200～
299人",300人以上,"出向・派遣
従業者のみ",総数,300万円,"300万～
500万円","500万～
1000万円","1000万～
3000万円","3000万～
5000万円","5000万～
１億円","1億～
3億円","3億～
10億円","10億～
50億円",50億円
,,,,,,,,,,,,,未満,未満,未満,未満,未満,未満,未満,未満,未満,以上
東中野一丁目,297,201,60,21,8,5,-,1,-,-,1,135,11,46,15,49,6,3,-,-,-,-
東中野二丁目,92,54,15,19,1,-,-,1,-,1,1,47,5,14,3,10,6,3,2,-,1,-
東中野三丁目,207,110,52,23,11,3,5,2,1,-,-,75,-,23,8,30,3,4,-,-,-,-
東中野四丁目,239,139,39,38,11,4,3,5,-,-,-,84,2,36,6,31,4,1,-,-,-,-
東中野五丁目,126,74,32,8,3,4,3,-,-,-,2,32,1,9,2,15,2,-,-,1,-,-
中野総数,2194,1151,472,289,115,74,34,21,12,20,6,698,41,207,60,246,25,34,16,7,2,8
中野一丁目,166,124,20,12,5,3,1,-,-,1,-,57,6,12,4,27,2,5,1,-,-,-
中野二丁目,287,135,69,45,12,14,6,1,3,1,1,101,6,27,6,42,4,9,-,-,1,-
中野三丁目,376,202,80,49,17,14,8,3,1,2,-,130,15,32,9,47,6,4,3,1,-,1
中野四丁目,225,63,41,40,27,14,8,9,6,15,2,75,-,14,3,28,3,7,6,5,1,7
中野五丁目,1077,587,249,138,52,26,11,8,2,1,3,307,14,111,35,95,7,7,4,1,-,-
中野六丁目,63,40,13,5,2,3,-,-,-,-,-,28,-,11,3,7,3,2,2,-,-,-
上高田総数,571,402,97,51,8,4,8,1,-,-,-,200,15,69,19,76,11,2,-,-,-,-
上高田一丁目,116,79,21,12,2,1,1,-,-,-,-,39,4,11,3,15,5,-,-,-,-,-
上高田二丁目,116,80,13,13,1,3,6,-,-,-,-,54,4,24,6,16,3,-,-,-,-,-
上高田三丁目,196,143,35,15,3,-,-,-,-,-,-,55,5,17,6,22,-,1,-,-,-,-
上高田四丁目,50,33,12,3,1,-,-,1,-,-,-,21,-,5,1,12,1,1,-,-,-,-
上高田五丁目,93,67,16,8,1,-,1,-,-,-,-,31,2,12,3,11,2,-,-,-,-,-
新井総数,812,503,172,71,32,17,10,4,1,1,1,333,24,127,20,127,10,10,1,1,1,-
新井一丁目,332,211,69,21,12,6,9,1,1,1,1,130,8,56,3,50,4,4,1,-,-,-
新井二丁目,235,133,55,26,12,7,-,2,-,-,-,92,7,25,5,41,4,4,-,1,1,-
新井三丁目,52,34,12,3,2,-,-,1,-,-,-,19,2,6,1,9,-,1,-,-,-,-
新井四丁目,71,50,13,3,2,2,1,-,-,-,-,39,2,15,6,13,1,-,-,-,-,-
新井五丁目,122,75,23,18,4,2,-,-,-,-,-,53,5,25,5,14,1,1,-,-,-,-
沼袋総数,481,333,82,38,10,12,3,2,-,-,1,170,10,73,14,61,3,3,-,-,-,-
沼袋一丁目,156,110,27,11,3,3,-,2,-,-,-,44,2,17,6,15,1,-,-,-,-,-
沼袋二丁目,119,87,17,7,2,4,2,-,-,-,-,53,2,23,3,22,1,1,-,-,-,-
沼袋三丁目,104,71,18,9,2,3,-,-,-,-,1,32,2,17,3,10,-,-,-,-,-,-
沼袋四丁目,102,65,20,11,3,2,1,-,-,-,-,41,4,16,2,14,1,2,-,-,-,-
松が丘総数,172,126,19,15,5,4,-,2,-,1,-,81,9,24,8,31,2,1,1,-,-,-
松が丘一丁目,110,84,11,9,2,3,-,1,-,-,-,39,5,12,2,15,-,-,-,-,-,-
松が丘二丁目,62,42,8,6,3,1,-,1,-,1,-,42,4,12,6,16,2,1,1,-,-,-
江原町総数,211,131,35,26,5,9,2,-,-,2,1,93,3,35,7,41,3,1,-,-,-,-
江原町一丁目,60,38,11,5,1,3,-,-,-,2,-,31,-,12,4,13,-,1,-,-,-,-
江原町二丁目,88,52,15,11,4,3,2,-,-,-,1,34,2,9,2,19,-,-,-,-,-,-
江原町三丁目,63,41,9,10,-,3,-,-,-,-,-,28,1,14,1,9,3,-,-,-,-,-
江古田総数,307,191,55,31,10,11,3,4,-,2,-,119,6,47,4,49,7,2,-,-,-,-
江古田一丁目,79,56,15,3,3,1,-,1,-,-,-,41,-,14,3,21,1,-,-,-,-,-
江古田二丁目,65,40,12,7,3,1,1,1,-,-,-,22,2,14,-,5,1,-,-,-,-,-
江古田三丁目,59,32,13,5,2,3,2,-,-,2,-,9,1,6,-,1,-,-,-,-,-,-
江古田四丁目,104,63,15,16,2,6,-,2,-,-,-,47,3,13,1,22,5,2,-,-,-,-
丸山総数,124,74,24,15,3,5,1,1,1,-,-,58,3,21,5,19,6,2,-,-,-,-
丸山一丁目,44,21,8,7,3,2,1,1,1,-,-,15,1,8,1,4,-,1,-,-,-,-
丸山二丁目,80,53,16,8,-,3,-,-,-,-,-,43,2,13,4,15,6,1,-,-,-,-
野方総数,693,456,142,63,20,6,4,-,-,-,2,240,19,75,26,95,11,1,-,-,-,-
野方一丁目,103,62,21,15,4,1,-,-,-,-,-,46,2,14,8,18,2,1,-,-,-,-
野方二丁目,55,42,6,6,1,-,-,-,-,-,-,25,1,9,1,12,1,-,-,-,-,-
野方三丁目,58,46,7,4,-,1,-,-,-,-,-,21,1,10,2,5,2,-,-,-,-,-
野方四丁目,64,39,16,2,3,2,2,-,-,-,-,35,2,7,5,18,3,-,-,-,-,-
野方五丁目,252,167,55,19,9,-,1,-,-,-,1,61,5,22,6,23,1,-,-,-,-,-
野方六丁目,161,100,37,17,3,2,1,-,-,-,1,52,8,13,4,19,2,-,-,-,-,-
大和町総数,394,324,32,29,3,4,1,-,1,-,-,150,12,57,20,48,2,3,1,-,-,-
大和町一丁目,201,167,18,12,1,1,1,-,1,-,-,77,6,26,11,27,1,1,1,-,-,-
大和町二丁目,53,39,5,8,-,1,-,-,-,-,-,22,4,9,3,5,-,1,-,-,-,-
大和町三丁目,85,72,5,6,1,1,-,-,-,-,-,28,-,10,4,10,1,1,-,-,-,-
大和町四丁目,55,46,4,3,1,1,-,-,-,-,-,23,2,12,2,6,-,-,-,-,-,-
若宮総数,306,239,40,20,4,3,-,-,-,-,-,91,5,32,11,33,5,-,-,1,-,-
若宮一丁目,75,59,10,4,1,1,-,-,-,-,-,18,1,6,2,8,-,-,-,-,-,-
若宮二丁目,66,58,3,3,-,2,-,-,-,-,-,26,1,6,5,9,4,-,-,1,-,-
若宮三丁目,165,122,27,13,3,-,-,-,-,-,-,47,3,20,4,16,1,-,-,-,-,-
白鷺総数,161,113,25,12,3,5,3,-,-,-,-,61,5,22,6,25,-,1,-,-,-,-
白鷺一丁目,55,35,11,4,1,3,1,-,-,-,-,22,2,6,3,9,-,1,-,-,-,-
白鷺二丁目,71,51,12,4,2,1,1,-,-,-,-,30,2,12,3,12,-,-,-,-,-,-
白鷺三丁目,35,27,2,4,-,1,1,-,-,-,-,9,1,4,-,4,-,-,-,-,-,-
鷺宮総数,548,373,99,54,9,9,2,1,-,-,1,207,20,80,17,70,9,3,1,-,-,-
鷺宮一丁目,108,82,13,9,1,2,-,1,-,-,-,39,3,13,3,15,1,1,1,-,-,-
鷺宮二丁目,41,23,9,6,1,1,1,-,-,-,-,22,2,4,2,10,3,-,-,-,-,-
鷺宮三丁目,225,142,46,28,3,4,1,-,-,-,1,57,6,22,7,17,2,1,-,-,-,-
鷺宮四丁目,89,64,19,4,2,-,-,-,-,-,-,34,2,19,2,9,1,1,-,-,-,-
鷺宮五丁目,43,33,7,2,-,1,-,-,-,-,-,27,2,12,1,9,1,-,-,-,-,-
鷺宮六丁目,42,29,5,5,2,1,-,-,-,-,-,28,5,10,2,10,1,-,-,-,-,-
上鷺宮総数,262,181,38,20,10,10,2,1,-,-,-,120,5,53,13,41,2,1,1,-,-,-
上鷺宮一丁目,32,23,5,1,1,2,-,-,-,-,-,14,-,7,1,5,1,-,-,-,-,-
上鷺宮二丁目,41,29,4,3,4,1,-,-,-,-,-,26,1,11,2,8,-,1,-,-,-,-
上鷺宮三丁目,59,36,8,7,3,3,1,1,-,-,-,23,1,8,4,9,-,-,1,-,-,-
上鷺宮四丁目,83,58,16,5,2,2,-,-,-,-,-,32,-,18,5,8,-,-,-,-,-,-
上鷺宮五丁目,47,35,5,4,-,2,1,-,-,-,-,25,3,9,1,11,1,-,-,-,-,-
注）　資本金額が不詳の事業所が含まれるため，各資本金階級の合計が総数と一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,
資料　東京都総務局統計部産業統計課「平成28年経済センサス-活動調査（産業横断的集計）」,,,,,,,,,,,,,,,,,,,,,,
