目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"１２９．国民健康保険事業特別会計予算額と決算額（令和4年度,令和5年度）",,,,,,
（単位：金額千円）,,,,,,
種別,令和4年度,,,令和5年度,,
,当初予算額,最終予算現額,決算額,当初予算額,最終予算現額,決算額
,歳入,,,,,
総額,32553000,33484814,32624942,36044000,35138559,33865794
国民健康保険料,8507229,8702560,8974659,9228009,8529152,8740591
一部負担金,4,4,0,4,4,0
国庫支出金,1,396,391,1,1710,1922
都支出金,19664724,20337113,19734271,21827053,20627053,19620184
繰入金,4273293,3986514,3452081,4921083,5633203,5121921
繰越金,30004,380482,380482,30004,309591,309591
諸収入,77745,77745,83058,37846,37846,71584
特別区債,-,-,-,-,-,-
,歳出,,,,,
総額,32553000,33484814,32315351,36044000,35138559,33538287
国保運営費,784786,784786,729259,860840,867662,759901
国保給付費,19686426,20296421,19312998,21875492,20675492,19309067
国保事業費納付金,11592797,11592797,11592793,12847920,12847920,12847917
保健事業費,335759,335759,288172,334739,334739,280578
諸支出金,123232,445051,392128,95009,382746,340825
予備費,30000,30000,0,30000,30000,0
注）　計数は各項目で四捨五入しているため，合計が合わないことがある。,,,,,,
資料　中野区「当初予算書」「主要施策の成果（決算説明資料）」,,,,,,
