目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128
南台四丁目,105,318,-,-,-,-,-,-,10,28,3,6,1,4,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,9,-,-,-,-,1,1,1,-,1,-,-,-,-,-,-,21,89,-,-,1,4,4,3,-,1,1,2,2,3,1,2,-,-,-,-,-,1,37,59,-,36,1,6,12,-,2,-,4,3,8,-,3,-,6,12,5,-,1,5,26,1,4,6,44,3,-,3,-,-,-,-,4,19,-,-,1,-,3,-,-,-
南台五丁目,94,1078,-,-,-,-,-,-,11,55,4,5,2,12,111,1,-,1,-,1,-,1,-,-,-,-,-,-,-,1,1,-,2,2,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,48,-,-,2,-,-,-,1,-,17,535,-,-,5,1,-,4,-,-,5,-,2,-,-,-,-,-,-,-,-,-,8,13,-,7,1,12,35,1,7,-,4,9,140,-,6,3,7,28,5,-,2,4,6,-,4,6,85,2,-,4,-,-,-,-,5,22,-,-,1,-,3,1,-,-
弥生町総数,929,6977,-,-,-,-,-,-,75,473,25,22,28,50,314,3,2,4,1,4,1,10,1,-,1,-,1,-,-,-,4,-,1,3,1,3,2,1,7,-,-,-,-,-,-,32,227,-,-,11,2,19,32,730,4,13,12,-,-,-,3,-,192,1603,-,5,12,9,13,23,-,22,43,6,50,7,5,66,-,2,-,1,-,2,135,355,16,116,3,42,211,1,20,5,16,118,540,3,101,14,90,344,63,8,19,25,163,4,21,82,1512,54,-,28,1,7,1,-,50,432,1,6,6,1,19,9,8,-
弥生町一丁目,164,1087,-,-,-,-,-,-,17,89,6,6,5,11,46,1,1,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,-,1,-,-,-,-,-,-,9,96,-,-,3,1,5,10,227,-,4,4,-,-,-,2,-,33,188,-,2,3,2,4,4,-,2,6,-,9,1,-,-,-,-,-,-,-,-,21,55,2,19,-,9,28,-,5,1,3,12,32,1,11,-,13,87,9,2,2,7,73,2,5,9,46,6,-,3,1,7,1,-,12,113,1,4,3,1,1,1,1,-
弥生町二丁目,267,2233,-,-,-,-,-,-,18,182,5,6,7,10,73,1,-,2,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,3,-,-,-,-,-,-,11,82,-,-,5,-,6,5,221,-,1,4,-,-,-,-,-,58,675,-,1,3,4,3,8,-,3,11,1,20,3,1,14,-,1,-,-,-,-,26,111,8,17,1,10,83,-,4,2,4,51,256,-,46,5,35,149,22,2,11,2,7,1,1,27,310,17,-,10,-,-,-,-,13,70,-,-,2,-,6,1,4,-
弥生町三丁目,176,904,-,-,-,-,-,-,11,53,3,5,3,9,41,1,-,-,-,2,-,2,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,2,-,-,-,-,-,-,1,1,-,-,-,-,1,1,1,-,-,1,-,-,-,-,-,51,392,-,1,1,-,1,4,-,12,19,3,9,1,-,-,-,-,-,-,-,-,27,65,3,24,-,6,9,-,4,-,2,22,70,1,18,3,22,41,18,3,1,1,1,-,1,17,201,11,-,6,-,-,-,-,8,29,-,1,1,-,4,1,1,-
弥生町四丁目,135,676,-,-,-,-,-,-,14,84,7,2,5,9,92,-,-,1,-,-,-,1,1,-,-,-,1,-,-,-,1,-,-,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,6,15,-,4,1,-,-,-,1,-,21,87,-,1,1,-,2,2,-,2,4,2,7,-,2,27,-,1,-,-,-,1,26,48,2,23,1,4,9,-,1,1,2,17,101,-,15,2,10,19,8,1,1,7,24,1,6,14,137,9,-,5,-,-,-,-,5,33,-,-,-,-,2,1,2,-
弥生町五丁目,149,1844,-,-,-,-,-,-,12,57,3,2,7,9,51,-,-,1,1,-,1,3,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,8,18,-,-,2,1,5,7,258,4,1,2,-,-,-,-,-,23,161,-,-,4,3,3,4,-,1,2,-,4,1,2,25,-,-,-,1,-,1,31,70,1,29,1,13,82,1,6,1,5,14,72,-,10,4,4,16,2,-,2,3,38,-,3,11,809,7,-,4,-,-,-,-,12,187,-,1,-,-,6,5,-,-
弥生町六丁目,38,233,-,-,-,-,-,-,3,8,1,1,1,2,11,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,30,-,-,1,-,2,3,8,-,3,-,-,-,-,-,-,6,100,-,-,-,-,-,1,-,2,1,-,1,1,-,-,-,-,-,-,-,-,4,6,-,4,-,-,-,-,-,-,-,2,9,1,1,-,6,32,4,-,2,5,20,-,5,4,9,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
本町総数,1244,18487,1,2,-,-,-,-,96,1814,38,34,24,47,343,6,2,4,2,2,-,10,1,-,-,-,-,3,-,1,3,-,2,4,2,2,1,-,2,-,-,-,-,-,-,71,2496,2,-,47,5,17,22,351,-,7,9,-,-,2,4,-,255,4648,-,7,15,17,29,30,-,14,58,12,63,9,21,1043,3,2,1,1,2,12,178,972,30,143,4,94,1333,1,52,5,36,153,900,1,142,10,102,871,70,15,17,39,659,9,30,100,1225,75,-,25,4,42,4,-,61,1788,2,2,10,3,26,10,7,1
本町一丁目,170,4674,-,-,-,-,-,-,13,168,6,3,4,7,60,1,-,1,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,11,859,1,-,7,2,1,2,73,-,-,1,-,-,-,1,-,45,1463,-,2,3,3,10,9,-,2,9,1,6,-,3,152,-,-,-,1,-,2,28,218,3,22,2,13,275,1,5,-,7,13,199,-,12,1,8,352,4,2,2,-,-,-,-,9,305,5,-,4,1,11,1,-,17,539,-,1,2,2,10,1,-,1
本町二丁目,255,6691,1,2,-,-,-,-,20,1015,8,9,3,7,103,1,-,1,-,1,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,20,887,-,-,17,1,2,3,25,-,-,2,-,-,1,-,-,44,2141,-,1,1,4,9,4,-,1,10,1,12,1,7,528,-,-,1,-,1,5,36,65,5,31,-,18,131,-,10,2,6,43,346,1,40,2,18,94,12,1,5,9,322,3,6,15,209,12,-,3,-,-,-,-,14,823,1,-,3,-,5,2,3,-
本町三丁目,178,2017,-,-,-,-,-,-,16,147,6,6,4,10,75,2,1,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,8,122,-,-,5,-,3,6,42,-,4,2,-,-,-,-,-,32,266,-,2,4,4,1,6,-,1,5,1,6,2,2,164,-,1,-,-,1,-,29,465,4,25,-,12,69,-,9,-,3,25,126,-,23,2,12,250,6,4,2,4,5,-,4,16,238,14,-,2,2,24,2,-,4,24,-,-,1,1,1,-,1,-
本町四丁目,355,2463,-,-,-,-,-,-,19,220,9,5,5,12,59,1,1,1,-,-,-,4,-,-,-,-,-,1,-,-,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,14,340,1,-,9,-,4,8,76,-,1,3,-,-,1,3,-,76,421,-,2,3,2,3,4,-,7,22,4,25,4,8,153,3,1,-,-,-,4,49,128,11,36,2,28,394,-,20,-,8,52,161,-,49,3,38,102,28,4,6,11,74,-,11,33,273,25,-,8,-,-,-,-,7,62,-,-,3,-,1,2,1,-
本町五丁目,121,1107,-,-,-,-,-,-,16,155,5,8,3,6,25,1,-,-,-,-,-,3,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,6,-,-,2,-,1,2,134,-,1,1,-,-,-,-,-,20,131,-,-,1,-,5,1,-,2,3,2,5,1,-,-,-,-,-,-,-,-,21,50,3,18,-,7,383,-,1,1,5,13,48,-,11,2,10,29,8,1,1,3,13,-,3,14,105,9,-,5,1,7,1,-,5,21,-,1,1,-,3,-,-,-
本町六丁目,165,1535,-,-,-,-,-,-,12,109,4,3,5,5,21,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,15,282,-,-,7,2,6,1,1,-,1,-,-,-,-,-,-,38,226,-,-,3,4,1,6,-,1,9,3,9,1,1,46,-,-,-,-,-,1,15,46,4,11,-,16,81,-,7,2,7,7,20,-,7,-,16,44,12,3,1,12,245,6,6,13,95,10,-,3,-,-,-,-,14,319,1,-,-,-,6,5,2,-
中央総数,1178,13110,-,-,-,-,-,-,65,1037,23,28,14,38,836,3,1,2,-,3,-,5,3,-,2,-,-,-,-,-,2,1,1,2,-,3,2,1,7,-,-,-,-,-,-,58,1540,-,-,32,3,22,12,95,-,3,6,-,-,-,3,-,246,3054,-,7,19,14,25,33,-,15,53,18,54,8,14,589,2,3,2,1,2,4,182,793,36,136,10,103,931,4,55,9,35,155,926,1,141,13,113,548,78,19,16,28,724,10,18,107,1010,71,2,34,1,10,1,-,56,1017,-,1,5,5,23,11,11,-
中央一丁目,231,4356,-,-,-,-,-,-,12,602,3,5,4,11,457,1,-,1,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,4,-,-,-,-,-,-,16,467,-,-,11,-,5,2,6,-,-,2,-,-,-,-,-,40,973,-,1,5,3,4,7,-,1,6,2,10,1,3,463,-,-,1,-,2,-,38,176,11,26,1,23,197,1,9,2,11,33,239,-,30,3,16,149,13,2,1,1,28,-,1,21,272,8,1,12,-,-,-,-,15,327,-,-,2,3,5,3,2,-
中央二丁目,237,2478,-,-,-,-,-,-,15,137,4,7,4,7,200,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,1,-,-,1,-,1,1,-,-,-,-,-,-,-,-,9,80,-,-,5,1,3,2,12,-,1,-,-,-,-,1,-,52,532,-,1,2,1,5,5,-,3,12,6,16,1,2,48,1,1,-,-,-,-,35,179,6,28,1,8,44,1,1,-,6,31,157,1,25,5,27,160,16,7,4,15,628,9,6,23,132,20,-,3,-,-,-,-,11,169,-,-,1,1,6,-,3,-
中央三丁目,197,1708,-,-,-,-,-,-,16,108,7,5,4,6,23,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,3,463,-,-,1,-,2,4,35,-,1,2,-,-,-,1,-,44,365,-,1,4,1,5,6,-,5,8,1,11,2,2,16,-,1,1,-,-,-,38,190,3,32,3,13,59,1,5,2,5,21,117,-,19,2,20,61,15,3,2,3,7,-,3,19,196,10,1,8,-,-,-,-,8,68,-,-,1,-,4,1,2,-
中央四丁目,278,2206,-,-,-,-,-,-,13,96,7,5,1,8,35,1,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,16,332,-,-,8,2,6,1,9,-,-,1,-,-,-,-,-,50,306,-,1,4,5,6,4,-,3,10,5,10,2,1,9,-,-,-,-,-,1,42,127,9,31,2,28,473,1,18,5,4,53,364,-,51,2,30,113,20,3,7,4,32,-,4,24,262,20,-,4,-,-,-,-,8,48,-,-,-,-,3,2,3,-
中央五丁目,235,2362,-,-,-,-,-,-,9,94,2,6,1,6,121,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,14,198,-,-,7,-,6,3,33,-,1,1,-,-,-,1,-,60,878,-,3,4,4,5,11,-,3,17,4,7,2,6,53,1,1,-,1,-,3,29,121,7,19,3,31,158,-,22,-,9,17,49,-,16,1,20,65,14,4,2,5,29,1,4,20,148,13,-,7,1,10,1,-,14,405,-,1,1,1,5,5,1,-
東中野総数,961,7858,-,-,-,-,-,-,39,455,15,12,12,20,129,4,-,5,-,-,-,7,1,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,26,588,-,-,9,1,16,8,121,1,1,5,-,-,-,1,-,182,1779,-,3,5,10,11,13,-,14,49,8,59,10,10,203,2,2,-,1,-,5,131,540,39,90,2,70,298,-,39,4,26,159,887,5,144,10,107,593,74,13,20,47,691,9,38,119,972,102,-,17,3,190,3,-,40,412,-,-,3,4,19,3,11,-
東中野一丁目,297,1610,-,-,-,-,-,-,18,149,8,8,2,13,95,4,-,2,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,8,28,-,-,2,-,6,1,1,-,-,1,-,-,-,-,-,48,226,-,1,1,2,1,5,-,5,8,4,18,3,1,5,-,-,-,-,-,1,37,138,18,19,-,21,69,-,14,-,7,56,274,1,51,4,32,124,21,4,7,12,92,-,12,34,318,29,-,5,1,7,1,-,15,84,-,-,1,2,8,1,3,-
東中野二丁目,92,948,-,-,-,-,-,-,2,13,-,-,2,2,12,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,362,-,-,4,-,1,2,22,-,-,2,-,-,-,-,-,17,245,-,-,2,2,4,-,-,-,4,-,3,2,1,4,-,-,-,1,-,-,14,37,-,14,-,14,29,-,10,1,2,6,47,1,4,1,5,10,3,-,2,6,52,2,4,13,90,11,-,2,-,-,-,-,5,25,-,-,1,1,1,-,2,-
東中野三丁目,207,2063,-,-,-,-,-,-,7,96,3,1,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,127,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,45,561,-,-,1,-,2,5,-,4,14,4,13,2,3,21,-,1,-,-,-,2,28,120,11,16,1,13,97,-,6,2,5,28,164,-,28,-,30,254,18,6,6,15,325,6,9,28,141,28,-,-,-,-,-,-,7,156,-,-,-,-,4,1,2,-
東中野四丁目,239,2332,-,-,-,-,-,-,8,158,3,2,3,4,21,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,62,-,-,2,1,6,3,37,1,-,2,-,-,-,-,-,47,516,-,1,1,5,2,1,-,3,16,-,15,3,3,152,2,-,-,-,-,1,30,197,10,19,1,15,60,-,7,1,7,46,316,-,44,2,28,90,23,2,3,10,167,1,9,25,240,17,-,8,1,177,1,-,10,139,-,-,1,1,6,-,2,-
東中野五丁目,126,905,-,-,-,-,-,-,4,39,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,-,-,-,-,2,2,61,-,1,-,-,-,-,1,-,25,231,-,1,-,1,2,2,-,2,7,-,10,-,2,21,-,1,-,-,-,1,22,48,-,22,-,7,43,-,2,-,5,23,86,3,17,3,12,115,9,1,2,4,55,-,4,19,183,17,-,2,1,6,1,-,3,8,-,-,-,-,-,1,2,-
中野総数,2194,37452,-,-,-,-,-,-,57,696,21,22,14,40,3142,4,5,4,-,1,1,6,3,-,2,-,-,3,-,-,-,1,-,1,1,1,-,-,7,1,6,-,-,-,1,66,3101,-,2,34,2,28,15,986,3,-,5,-,-,1,5,1,529,7745,-,6,17,7,23,23,2,108,96,23,210,13,28,3509,7,3,3,4,1,10,240,1118,66,168,6,127,1175,2,72,6,47,544,4915,9,520,15,188,1424,110,28,50,76,2842,19,57,169,3423,122,1,46,3,24,3,-,111,3346,-,2,5,5,70,19,7,2
中野一丁目,166,1170,-,-,-,-,-,-,15,48,7,6,2,6,29,-,-,1,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,33,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,23,287,-,-,4,1,1,1,-,1,9,-,5,1,1,2,-,-,-,-,-,1,54,87,2,51,1,10,53,-,3,-,7,12,69,-,9,3,14,42,12,1,1,5,15,-,5,13,92,6,-,7,-,-,-,-,11,413,-,-,-,-,8,1,2,-
